fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,0,0,0,0
2020-04-16,0,0,0,0
2020-04-17,0,0,0,0
2020-04-18,0,0,0,0
2020-04-19,0,0,0,0
2020-04-20,1,0,0,0
2020-04-21,0,0,0,0
2020-04-22,1,2,0,2
2020-04-23,0,2,0,2
2020-04-24,0,3,0,3
2020-04-25,2,2,0,2
2020-04-26,1,4,0,4
2020-04-27,0,5,0,5
2020-04-28,4,4,0,4
2020-04-29,5,6,0,6
2020-04-30,2,8,0,8
2020-05-01,1,8,0,8
2020-05-02,1,8,0,8
2020-05-03,17,8,0,8
2020-05-04,18,9,0,9
2020-05-05,14,9,0,9
2020-05-06,13,9,0,9
2020-05-07,14,11,0,11
2020-05-08,11,9,0,9
2020-05-09,9,8,0,8
2020-05-10,14,5,0,5
2020-05-11,16,5,0,5
2020-05-12,12,5,0,5
2020-05-13,12,6,0,6
2020-05-14,14,5,0,5
2020-05-15,18,5,0,5
2020-05-16,21,4,0,4
2020-05-17,19,6,0,6
2020-05-18,15,5,0,5
2020-05-19,18,5,0,5
2020-05-20,19,6,0,6
2020-05-21,22,6,0,6
2020-05-22,19,3,0,3
2020-05-23,20,3,0,3
2020-05-24,19,3,0,3
2020-05-25,23,3,0,3
2020-05-26,24,3,0,3
2020-05-27,20,5,0,5
2020-05-28,20,5,0,5
2020-05-29,19,6,0,6
2020-05-30,18,6,0,6
2020-05-31,13,7,0,7
2020-06-01,11,7,0,7
2020-06-02,12,6,0,6
2020-06-03,15,8,0,8
2020-06-04,11,9,0,9
2020-06-05,12,9,0,9
2020-06-06,13,9,0,9
2020-06-07,17,10,0,10
2020-06-08,17,11,0,11
2020-06-09,17,10,0,10
2020-06-10,22,7,0,7
2020-06-11,18,5,0,5
2020-06-12,17,5,0,5
2020-06-13,15,3,0,3
2020-06-14,20,1,0,1
2020-06-15,17,2,0,2
2020-06-16,16,2,0,2
2020-06-17,17,3,0,3
2020-06-18,13,5,0,5
2020-06-19,10,5,0,5
2020-06-20,12,6,0,6
2020-06-21,18,7,0,7
2020-06-22,22,8,0,8
2020-06-23,23,8,0,8
2020-06-24,28,7,0,7
2020-06-25,24,6,0,6
2020-06-26,20,5,0,5
2020-06-27,18,4,0,4
2020-06-28,18,5,0,5
2020-06-29,17,5,0,5
2020-06-30,22,4,0,4
2020-07-01,19,4,0,4
2020-07-02,18,5,0,5
2020-07-03,14,5,0,5
2020-07-04,13,5,0,5
2020-07-05,13,6,0,6
2020-07-06,18,5,0,5
2020-07-07,19,2,0,2
2020-07-08,24,3,0,3
2020-07-09,28,4,0,4
2020-07-10,23,7,0,7
2020-07-11,27,9,0,9
2020-07-12,24,12,0,12
2020-07-13,27,12,0,12
2020-07-14,28,9,0,9
2020-07-15,32,12,0,12
2020-07-16,34,15,0,15
2020-07-17,35,15,0,15
2020-07-18,32,14,0,14
2020-07-19,33,11,0,11
2020-07-20,41,10,0,10
2020-07-21,35,9,0,9
2020-07-22,38,10,0,10
2020-07-23,38,11,0,11
2020-07-24,40,12,0,12
2020-07-25,15,1,0,1
2020-07-26,42,11,0,11
2020-07-27,40,10,0,10
2020-07-28,39,9,0,9
2020-07-29,39,11,0,11
2020-07-30,45,10,0,10
2020-07-31,48,10,0,10
2020-08-01,39,12,0,12
2020-08-02,40,11,0,11
2020-08-03,40,-26,39,13
2020-08-04,37,13,0,13
2020-08-05,35,15,0,15
2020-08-06,40,12,0,12
2020-08-07,37,11,0,11
2020-08-08,34,11,0,11
2020-08-09,32,11,0,11
2020-08-10,33,12,0,12
2020-08-11,27,11,0,11
2020-08-12,31,12,0,12
2020-08-13,36,10,0,10
2020-08-14,40,8,0,8
2020-08-15,34,10,0,10
2020-08-16,30,8,0,8
2020-08-17,36,7,0,7
2020-08-18,37,6,0,6
2020-08-19,36,5,0,5
2020-08-20,31,5,0,5
2020-08-21,37,5,0,5
2020-08-22,33,5,0,5
2020-08-23,29,8,0,8
2020-08-24,33,8,0,8
2020-08-25,31,7,0,7
2020-08-26,34,6,0,6
2020-08-27,27,9,0,9
2020-08-28,32,9,0,9
2020-08-29,30,9,0,9
2020-08-30,34,6,0,6
2020-08-31,31,5,0,5
2020-09-01,31,4,0,4
2020-09-02,27,4,0,4
2020-09-03,26,3,0,3
2020-09-04,22,3,0,3
2020-09-05,24,3,0,3
2020-09-06,24,3,0,3
2020-09-07,23,4,0,4
2020-09-08,20,4,0,4
2020-09-09,21,5,0,5
2020-09-10,28,5,0,5
2020-09-11,27,6,0,6
2020-09-12,26,3,0,3
2020-09-13,27,2,0,2
2020-09-14,30,3,0,3
2020-09-15,25,3,0,3
2020-09-16,23,2,0,2
2020-09-17,22,3,0,3
2020-09-18,19,4,0,4
2020-09-19,15,4,0,4
2020-09-20,20,4,0,4
2020-09-21,23,5,0,5
2020-09-22,20,5,0,5
2020-09-23,21,5,0,5
2020-09-24,24,5,0,5
2020-09-25,21,4,0,4
2020-09-26,20,3,0,3
2020-09-27,22,3,0,3
2020-09-28,25,2,0,2
2020-09-29,25,4,0,4
2020-09-30,25,4,0,4
2020-10-01,21,4,0,4
2020-10-02,20,3,0,3
2020-10-03,14,5,0,5
2020-10-04,13,4,0,4
2020-10-05,16,4,0,4
2020-10-06,17,4,0,4
2020-10-07,11,4,0,4
2020-10-08,18,3,0,3
2020-10-09,20,5,0,5
2020-10-10,21,4,0,4
2020-10-11,23,4,0,4
2020-10-12,23,3,0,3
2020-10-13,23,3,0,3
2020-10-14,21,1,0,1
2020-10-15,17,3,0,3
2020-10-16,18,2,0,2
2020-10-17,19,1,0,1
2020-10-18,20,1,0,1
2020-10-19,23,2,0,2
2020-10-20,23,3,0,3
2020-10-21,23,2,0,2
2020-10-22,19,4,0,4
2020-10-23,16,4,0,4
2020-10-24,13,5,0,5
2020-10-25,12,7,0,7
2020-10-26,14,7,0,7
2020-10-27,13,9,0,9
2020-10-28,27,3,0,3
2020-10-29,14,9,0,9
2020-10-30,13,9,0,9
2020-10-31,14,8,0,8
2020-11-01,20,6,0,6
2020-11-02,22,7,0,7
2020-11-03,20,9,0,9
2020-11-04,16,8,0,8
2020-11-05,13,7,0,7
2020-11-06,11,7,0,7
2020-11-07,13,6,0,6
2020-11-08,15,6,0,6
2020-11-09,17,6,0,6
2020-11-10,18,8,0,8
2020-11-11,16,8,0,8
2020-11-12,13,8,0,8
2020-11-13,20,6,0,6
2020-11-14,17,7,0,7
2020-11-15,15,0,1,1
2020-11-16,3,1,0,1
2020-11-17,18,8,0,8
2020-11-18,22,10,0,10
2020-11-19,23,9,0,9
2020-11-20,21,9,0,9
2020-11-21,20,10,0,10
2020-11-22,21,9,0,9
2020-11-23,19,11,0,11
2020-11-24,17,10,0,10
2020-11-25,17,8,0,8
2020-11-26,23,8,0,8
2020-11-27,23,7,0,7
2020-11-28,20,6,0,6
2020-11-29,19,4,0,4
2020-11-30,22,4,0,4
2020-12-01,24,4,0,4
2020-12-02,29,2,0,2
2020-12-03,26,4,0,4
2020-12-04,25,5,0,5
2020-12-05,28,4,0,4
2020-12-06,28,5,0,5
2020-12-07,31,4,0,4
2020-12-08,28,5,0,5
2020-12-09,31,6,0,6
2020-12-10,29,9,0,9
2020-12-11,34,9,0,9
2020-12-12,29,9,0,9
2020-12-13,26,8,0,8
2020-12-14,27,9,0,9
2020-12-15,29,9,0,9
2020-12-16,33,10,0,10
2020-12-17,28,9,0,9
2020-12-18,30,11,0,11
2020-12-19,33,8,0,8
2020-12-20,40,8,0,8
2020-12-21,32,9,0,9
2020-12-22,36,10,0,10
2020-12-23,34,11,0,11
2020-12-24,33,13,0,13
2020-12-25,35,13,0,13
2020-12-26,37,13,0,13
2020-12-27,39,12,0,12
2020-12-28,40,11,0,11
2020-12-29,42,10,0,10
2020-12-30,34,15,0,15
2020-12-31,41,13,0,13
2021-01-01,44,9,0,9
2021-01-02,42,5,0,5
2021-01-03,41,8,0,8
2021-01-04,47,9,0,9
2021-01-05,43,10,0,10
2021-01-06,47,10,0,10
2021-01-07,50,11,0,11
2021-01-08,49,11,0,11
2021-01-09,50,10,0,10
2021-01-10,47,9,0,9
2021-01-11,51,9,0,9
2021-01-12,56,10,0,10
2021-01-13,57,10,0,10
2021-01-14,53,12,0,12
2021-01-15,52,13,0,13
2021-01-16,55,10,0,10
2021-01-17,60,8,0,8
2021-01-18,58,14,0,14
2021-01-19,63,9,0,9
2021-01-20,62,10,0,10
2021-01-21,54,10,0,10
2021-01-22,57,11,0,11
2021-01-23,59,9,0,9
2021-01-24,56,9,0,9
2021-01-25,58,9,0,9
2021-01-26,57,13,0,13
2021-01-27,58,11,0,11
2021-01-28,55,12,0,12
2021-01-29,55,12,0,12
2021-01-30,50,12,0,12
2021-01-31,52,12,0,12
2021-02-01,44,13,0,13
2021-02-02,53,13,0,13
2021-02-03,52,14,0,14
2021-02-04,52,13,0,13
2021-02-05,49,14,0,14
2021-02-06,44,15,0,15
2021-02-07,42,14,0,14
2021-02-08,43,15,0,15
2021-02-09,44,13,0,13
2021-02-10,37,12,0,12
2021-02-11,36,12,0,12
2021-02-12,33,12,0,12
