fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,0,0
2020-04-08,4,1,0,1
2020-04-09,1,1,0,1
2020-04-10,1,2,0,2
2020-04-11,2,2,0,2
2020-04-12,3,2,0,2
2020-04-13,4,3,0,3
2020-04-14,2,1,2,3
2020-04-15,1,1,2,3
2020-04-16,2,2,2,4
2020-04-17,2,3,0,3
2020-04-18,5,2,0,2
2020-04-19,7,3,0,3
2020-04-20,5,3,0,3
2020-04-21,6,3,0,3
2020-04-22,7,4,0,4
2020-04-23,8,3,0,3
2020-04-24,8,4,0,4
2020-04-25,8,5,0,5
2020-04-26,6,5,0,5
2020-04-27,9,7,0,7
2020-04-28,10,5,0,5
2020-04-29,13,6,0,6
2020-04-30,14,5,0,5
2020-05-01,12,6,0,6
2020-05-02,11,5,1,6
2020-05-03,11,5,1,6
2020-05-04,11,5,1,6
2020-05-05,11,5,1,6
2020-05-06,12,3,2,5
2020-05-07,10,2,2,4
2020-05-08,17,2,2,4
2020-05-09,18,4,1,5
2020-05-10,24,3,1,4
2020-05-11,17,3,1,4
2020-05-12,19,3,1,4
2020-05-13,16,5,1,6
2020-05-14,19,3,2,5
2020-05-15,21,3,2,5
2020-05-16,24,4,2,6
2020-05-17,24,4,2,6
2020-05-18,27,8,0,8
2020-05-19,24,8,0,8
2020-05-20,28,8,0,8
2020-05-21,30,9,0,9
2020-05-22,30,9,0,9
2020-05-23,36,12,0,12
2020-05-24,37,10,0,10
2020-05-25,41,9,0,9
2020-05-26,38,10,0,10
2020-05-27,60,12,7,19
2020-05-28,51,14,7,21
2020-05-29,41,14,7,21
2020-05-30,36,16,6,22
2020-05-31,43,17,6,23
2020-06-01,43,19,6,25
2020-06-02,45,19,7,26
2020-06-03,37,23,4,27
2020-06-04,47,19,10,29
2020-06-05,58,18,10,28
2020-06-06,69,23,10,33
2020-06-07,72,24,10,34
2020-06-08,82,24,9,33
2020-06-09,71,29,8,37
2020-06-10,74,22,10,32
2020-06-11,56,23,0,23
2020-06-12,78,20,13,33
2020-06-13,72,22,12,34
2020-06-14,72,27,12,39
2020-06-15,82,27,12,39
2020-06-16,53,29,0,29
2020-06-17,86,33,14,47
2020-06-18,76,29,14,43
2020-06-19,69,30,13,43
