fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,3,0,3
2020-04-08,57,8,0,8
2020-04-09,64,7,0,7
2020-04-10,63,6,0,6
2020-04-11,57,4,0,4
2020-04-12,57,4,0,4
2020-04-13,57,5,0,5
2020-04-14,60,4,0,4
2020-04-15,58,4,0,4
2020-04-16,57,3,0,3
2020-04-17,54,3,0,3
2020-04-18,61,3,0,3
2020-04-19,63,3,0,3
2020-04-20,241,21,36,57
2020-04-21,266,23,44,67
2020-04-22,151,15,8,23
2020-04-23,257,30,40,70
2020-04-24,177,37,4,41
2020-04-25,295,44,46,90
2020-04-26,319,33,47,80
2020-04-27,225,43,4,47
2020-04-28,282,41,37,78
2020-04-29,501,38,48,86
2020-04-30,499,37,45,82
2020-05-01,496,38,47,85
2020-05-02,386,41,11,52
2020-05-03,508,41,46,87
2020-05-04,541,38,50,88
2020-05-05,501,36,52,88
2020-05-06,524,36,53,89
2020-05-07,544,35,48,83
2020-05-08,544,32,47,79
2020-05-09,511,43,46,89
2020-05-10,517,42,46,88
2020-05-11,505,36,47,83
2020-05-12,407,40,7,47
2020-05-13,496,46,41,87
2020-05-14,460,51,43,94
2020-05-15,448,52,41,93
2020-05-16,463,54,41,95
2020-05-17,475,61,39,100
2020-05-18,479,61,41,102
2020-05-19,458,67,42,109
2020-05-20,426,59,43,102
2020-05-21,466,59,46,105
2020-05-22,436,115,47,162
2020-05-23,357,84,43,127
2020-05-24,412,119,46,165
2020-05-25,435,104,53,157
2020-05-26,395,105,60,165
2020-05-27,397,111,62,173
2020-05-28,402,110,65,175
2020-05-29,403,108,62,170
2020-05-30,380,101,62,163
2020-05-31,395,120,45,165
2020-06-01,394,109,64,173
2020-06-02,369,128,46,174
2020-06-03,401,104,66,170
2020-06-04,329,116,34,150
2020-06-05,332,121,13,134
2020-06-06,386,126,47,173
2020-06-07,404,124,49,173
2020-06-08,399,123,49,172
2020-06-09,410,94,68,162
2020-06-10,363,106,29,135
2020-06-11,381,111,59,170
2020-06-12,404,109,55,164
2020-06-13,395,104,53,157
2020-06-14,385,130,40,170
2020-06-15,421,93,58,151
2020-06-16,388,115,42,157
2020-06-17,402,115,40,155
2020-06-18,380,103,56,159
2020-06-19,340,96,28,124
2020-06-20,370,115,58,173
2020-06-21,377,131,39,170
2020-06-22,382,131,38,169
2020-06-23,394,124,54,178
2020-06-24,388,122,54,176
2020-06-25,409,114,52,166
2020-06-26,388,136,39,175
2020-06-27,354,126,59,185
2020-06-28,439,122,58,180
2020-06-29,438,119,61,180
2020-06-30,426,135,39,174
2020-07-01,445,130,52,182
2020-07-02,470,131,40,171
2020-07-03,453,124,59,183
2020-07-04,402,141,44,185
2020-07-05,458,121,62,183
2020-07-06,436,130,56,186
2020-07-07,472,110,50,160
2020-07-08,455,108,46,154
2020-07-09,454,97,58,155
2020-07-10,418,116,56,172
2020-07-11,383,128,39,167
2020-07-12,362,90,56,146
2020-07-13,402,104,53,157
2020-07-14,423,101,54,155
2020-07-15,391,116,50,166
2020-07-16,369,122,45,167
2020-07-17,394,121,45,166
2020-07-18,354,121,48,169
2020-07-19,416,111,49,160
2020-07-20,423,112,46,158
2020-07-21,359,106,54,160
2020-07-22,344,111,56,167
2020-07-23,367,105,59,164
2020-07-24,317,109,57,166
2020-07-25,275,107,51,158
2020-07-26,326,89,56,145
2020-07-27,301,100,51,151
2020-07-28,338,85,54,139
2020-07-29,339,91,54,145
2020-07-30,333,86,58,144
2020-07-31,348,87,53,140
2020-08-01,348,85,57,142
2020-08-02,352,89,56,145
2020-08-03,351,86,54,140
2020-08-04,337,92,51,143
2020-08-05,311,95,46,141
2020-08-06,301,91,45,136
2020-08-07,306,88,48,136
2020-08-08,305,95,49,144
2020-08-09,298,87,45,132
2020-08-10,296,94,44,138
2020-08-11,292,95,42,137
2020-08-12,294,85,42,127
2020-08-13,300,90,40,130
2020-08-14,290,85,41,126
2020-08-15,288,84,42,126
2020-08-16,282,88,41,129
2020-08-17,285,74,42,116
2020-08-18,294,83,44,127
2020-08-19,286,70,44,114
2020-08-20,301,63,49,112
2020-08-21,299,54,47,101
2020-08-22,270,59,46,105
2020-08-23,272,68,45,113
2020-08-24,258,67,46,113
2020-08-25,241,49,46,95
2020-08-26,262,59,47,106
2020-08-27,249,59,47,106
2020-08-28,257,62,52,114
2020-08-29,254,58,57,115
2020-08-30,256,52,53,105
2020-08-31,258,45,51,96
2020-09-01,243,50,44,94
2020-09-02,243,50,44,94
2020-09-03,235,41,54,95
2020-09-04,227,27,52,79
2020-09-05,236,46,50,96
2020-09-06,242,43,46,89
2020-09-07,243,44,47,91
2020-09-08,237,46,46,92
2020-09-09,240,50,40,90
2020-09-10,233,42,42,84
2020-09-11,218,41,45,86
2020-09-12,218,42,51,93
2020-09-13,204,56,36,92
2020-09-14,212,33,48,81
2020-09-15,218,30,49,79
2020-09-16,211,32,46,78
2020-09-17,219,35,50,85
2020-09-18,213,37,49,86
2020-09-19,196,31,43,74
2020-09-20,206,45,30,75
2020-09-21,227,25,45,70
2020-09-22,204,26,46,72
2020-09-23,187,30,42,72
2020-09-24,163,48,23,71
2020-09-25,150,33,23,56
2020-09-26,116,9,30,39
2020-09-27,191,25,39,64
2020-09-28,154,45,27,72
2020-09-29,160,24,42,66
2020-09-30,96,5,39,44
2020-10-01,154,24,42,66
2020-10-02,184,21,44,65
2020-10-03,172,32,39,71
2020-10-04,201,19,45,64
2020-10-05,142,18,44,62
2020-10-06,199,15,50,65
2020-10-07,177,28,30,58
2020-10-08,191,24,47,71
2020-10-09,197,29,47,76
2020-10-10,180,45,31,76
2020-10-11,169,12,49,61
2020-10-12,157,30,40,70
2020-10-13,195,36,43,79
2020-10-14,188,40,37,77
2020-10-15,191,34,43,77
