fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,2,3,1,4
2020-04-08,7,3,0,3
2020-04-09,10,3,0,3
2020-04-10,4,5,0,5
2020-04-11,14,4,0,4
2020-04-12,15,5,0,5
2020-04-13,18,3,0,3
2020-04-14,23,3,0,3
2020-04-15,21,5,0,5
2020-04-16,24,3,1,4
2020-04-17,25,7,1,8
2020-04-18,24,7,1,8
2020-04-19,23,11,1,12
2020-04-20,18,13,1,14
2020-04-21,24,12,1,13
2020-04-22,21,10,1,11
2020-04-23,16,10,0,10
2020-04-24,14,8,2,10
2020-04-25,13,7,2,9
2020-04-26,14,6,2,8
2020-04-27,12,6,1,7
2020-04-28,13,8,1,9
2020-04-29,14,5,0,5
2020-04-30,13,6,0,6
2020-05-01,14,7,0,7
2020-05-02,16,6,0,6
2020-05-03,16,5,1,6
2020-05-04,17,5,0,5
2020-05-05,22,5,0,5
2020-05-06,24,4,0,4
2020-05-07,26,6,0,6
2020-05-08,28,2,4,6
2020-05-09,22,7,0,7
2020-05-10,19,6,0,6
2020-05-11,19,6,0,6
2020-05-12,24,5,0,5
2020-05-13,19,5,0,5
2020-05-14,20,5,0,5
2020-05-15,21,4,0,4
2020-05-16,15,6,0,6
2020-05-17,17,5,1,6
2020-05-18,15,7,0,7
2020-05-19,17,5,0,5
2020-05-20,16,5,1,6
2020-05-21,18,4,0,4
2020-05-22,17,5,0,5
2020-05-23,17,5,0,5
2020-05-24,18,4,1,5
2020-05-25,16,4,1,5
2020-05-26,20,5,1,6
2020-05-27,28,4,1,5
2020-05-28,24,8,0,8
2020-05-29,28,6,0,6
2020-05-30,26,10,0,10
2020-05-31,27,10,0,10
2020-06-01,29,10,0,10
2020-06-02,25,12,0,12
2020-06-03,28,10,1,11
2020-06-04,22,12,1,13
2020-06-05,20,10,1,11
2020-06-06,19,11,1,12
2020-06-07,21,10,1,11
2020-06-08,17,11,1,12
2020-06-09,21,14,0,14
2020-06-10,25,12,1,13
2020-06-11,29,11,1,12
2020-06-12,20,18,1,19
2020-06-13,20,18,1,19
2020-06-14,18,16,1,17
2020-06-15,20,15,1,16
2020-06-16,17,11,1,12
2020-06-17,18,14,1,15
2020-06-18,23,14,1,15
2020-06-19,25,12,1,13
2020-06-20,26,12,1,13
2020-06-21,30,11,1,12
2020-06-22,31,14,1,15
2020-06-23,20,14,1,15
2020-06-24,38,14,1,15
2020-06-25,44,15,1,16
2020-06-26,45,15,1,16
2020-06-27,44,17,1,18
2020-06-28,40,17,1,18
2020-06-29,38,18,1,19
2020-06-30,37,25,1,26
2020-07-01,41,24,1,25
2020-07-02,44,23,1,24
2020-07-03,54,16,1,17
2020-07-04,54,12,9,21
2020-07-05,53,24,1,25
2020-07-06,55,20,1,21
2020-07-07,64,20,1,21
2020-07-08,73,25,1,26
2020-07-09,79,30,1,31
2020-07-10,82,26,1,27
2020-07-11,80,30,1,31
2020-07-12,79,30,1,31
2020-07-13,84,33,1,34
2020-07-14,94,34,1,35
2020-07-15,84,39,1,40
2020-07-16,80,46,0,46
2020-07-17,73,44,1,45
2020-07-18,73,43,1,44
2020-07-19,87,42,1,43
2020-07-20,104,37,1,38
2020-07-21,100,38,0,38
2020-07-22,98,40,0,40
2020-07-23,114,47,0,47
2020-07-24,111,47,1,48
2020-07-25,116,48,0,48
2020-07-26,117,48,0,48
2020-07-27,122,49,0,49
2020-07-28,123,38,4,42
2020-07-29,136,35,10,45
2020-07-30,149,36,15,51
2020-07-31,129,50,1,51
2020-08-01,126,51,1,52
2020-08-02,121,54,1,55
2020-08-03,137,21,30,51
2020-08-04,154,46,9,55
2020-08-05,157,18,43,61
2020-08-06,143,50,13,63
2020-08-07,121,61,2,63
2020-08-08,140,51,12,63
2020-08-09,138,59,13,72
2020-08-10,136,53,13,66
2020-08-11,119,61,13,74
2020-08-12,127,58,12,70
2020-08-13,118,54,12,66
2020-08-14,109,63,9,72
2020-08-15,110,56,13,69
2020-08-16,112,57,11,68
2020-08-17,110,54,12,66
2020-08-18,115,51,13,64
2020-08-19,104,57,2,59
2020-08-20,111,51,6,57
2020-08-21,120,50,8,58
2020-08-22,118,50,8,58
2020-08-23,122,50,8,58
2020-08-24,119,46,8,54
2020-08-25,118,43,8,51
2020-08-26,100,45,8,53
2020-08-27,101,46,7,53
2020-08-28,97,51,7,58
2020-08-29,86,56,8,64
2020-08-30,85,52,8,60
2020-08-31,83,56,8,64
2020-09-01,73,50,8,58
2020-09-02,70,50,0,50
2020-09-03,71,46,0,46
2020-09-04,84,40,7,47
2020-09-05,80,35,6,41
2020-09-06,84,37,6,43
2020-09-07,88,39,6,45
2020-09-08,88,39,6,45
2020-09-09,179,39,4,43
2020-09-10,85,31,5,36
2020-09-11,79,29,5,34
2020-09-12,78,27,6,33
2020-09-13,80,23,6,29
2020-09-14,89,26,6,32
2020-09-15,87,29,4,33
2020-09-16,78,29,3,32
2020-09-17,80,30,3,33
2020-09-18,70,39,3,42
2020-09-19,73,41,4,45
2020-09-20,74,34,4,38
2020-09-21,74,41,4,45
2020-09-22,69,39,5,44
2020-09-23,63,39,5,44
2020-09-24,64,40,4,44
2020-09-25,63,35,5,40
2020-09-26,63,35,5,40
2020-09-27,56,36,3,39
2020-09-28,57,37,3,40
2020-09-29,56,39,4,43
2020-09-30,55,35,5,40
2020-10-01,48,39,3,42
2020-10-02,48,40,2,42
2020-10-03,40,41,2,43
2020-10-04,48,38,2,40
2020-10-05,46,39,2,41
2020-10-06,48,39,2,41
2020-10-07,46,41,2,43
2020-10-08,43,39,2,41
2020-10-09,51,36,2,38
2020-10-10,49,36,2,38
2020-10-11,50,32,2,34
2020-10-12,44,33,2,35
2020-10-13,48,34,1,35
2020-10-14,55,36,0,36
2020-10-15,61,32,0,32
2020-10-16,53,36,0,36
2020-10-17,55,33,1,34
2020-10-18,51,33,1,34
2020-10-19,48,37,1,38
2020-10-20,46,25,12,37
2020-10-21,45,36,0,36
2020-10-22,38,41,0,41
2020-10-23,34,42,0,42
2020-10-24,47,37,0,37
2020-10-25,44,30,0,30
2020-10-26,43,34,0,34
2020-10-27,45,33,0,33
2020-10-28,48,33,0,33
2020-10-29,46,38,0,38
2020-10-30,40,39,0,39
2020-10-31,37,39,0,39
2020-11-01,41,34,0,34
2020-11-02,39,30,0,30
2020-11-03,38,30,0,30
2020-11-04,40,32,0,32
2020-11-05,41,30,0,30
2020-11-06,36,31,0,31
2020-11-07,37,28,0,28
2020-11-08,39,29,0,29
2020-11-09,40,27,0,27
2020-11-10,40,28,0,28
2020-11-11,45,20,0,20
2020-11-12,45,17,2,19
2020-11-13,41,19,2,21
2020-11-14,39,23,2,25
2020-11-15,40,23,2,25
2020-11-16,45,18,2,20
2020-11-17,41,22,2,24
2020-11-18,51,20,2,22
2020-11-19,39,26,2,28
2020-11-20,41,25,2,27
2020-11-21,47,22,2,24
2020-11-22,41,27,1,28
2020-11-23,41,27,1,28
2020-11-24,45,26,1,27
2020-11-25,40,30,1,31
2020-11-26,43,29,1,30
2020-11-27,34,30,1,31
2020-11-28,37,23,0,23
2020-11-29,43,20,2,22
2020-11-30,51,21,2,23
2020-12-01,48,21,1,22
2020-12-02,46,26,1,27
2020-12-03,50,26,1,27
2020-12-04,45,32,1,33
2020-12-05,41,34,0,34
2020-12-06,41,31,0,31
2020-12-07,41,31,1,32
2020-12-08,36,35,1,36
2020-12-09,38,34,1,35
2020-12-10,37,37,1,38
2020-12-11,44,41,1,42
2020-12-12,51,40,1,41
2020-12-13,59,38,2,40
2020-12-14,54,41,1,42
2020-12-15,53,46,1,47
2020-12-16,63,46,2,48
2020-12-17,61,49,2,51
2020-12-18,53,54,3,57
2020-12-19,53,59,1,60
2020-12-20,57,60,1,61
2020-12-21,58,56,1,57
2020-12-22,60,49,1,50
2020-12-23,62,48,0,48
2020-12-24,64,55,0,55
2020-12-25,61,53,0,53
2020-12-26,63,54,0,54
2020-12-27,65,54,1,55
2020-12-28,76,53,1,54
2020-12-29,82,58,1,59
2020-12-30,82,57,1,58
2020-12-31,76,58,0,58
2021-01-01,76,55,1,56
2021-01-02,77,53,1,54
2021-01-03,78,60,1,61
2021-01-04,87,57,1,58
2021-01-05,87,49,1,50
2021-01-06,94,48,1,49
2021-01-07,102,48,1,49
2021-01-08,97,46,2,48
2021-01-09,102,51,2,53
2021-01-10,112,48,2,50
2021-01-11,136,52,2,54
2021-01-12,150,19,27,46
2021-01-13,147,46,3,49
2021-01-14,145,53,3,56
2021-01-15,141,57,2,59
2021-01-16,129,58,2,60
2021-01-17,121,64,2,66
2021-01-18,119,64,1,65
2021-01-19,115,60,2,62
2021-01-20,117,61,2,63
2021-01-21,120,62,2,64
2021-01-22,116,62,3,65
2021-01-23,122,58,3,61
2021-01-24,120,62,3,65
2021-01-25,124,63,4,67
2021-01-26,131,65,5,70
2021-01-27,137,68,4,72
2021-01-28,141,69,4,73
2021-01-29,126,69,5,74
2021-01-30,129,74,5,79
2021-01-31,127,76,5,81
2021-02-01,125,75,4,79
2021-02-02,121,69,4,73
2021-02-03,141,67,4,71
2021-02-04,131,66,3,69
2021-02-05,135,57,3,60
2021-02-06,127,55,3,58
2021-02-07,142,45,2,47
2021-02-08,124,55,2,57
2021-02-09,124,46,3,49
2021-02-10,104,49,3,52
2021-02-11,89,51,2,53
2021-02-12,92,55,1,56
2021-02-13,93,55,1,56
2021-02-14,94,51,1,52
2021-02-15,78,59,1,60
2021-02-16,87,55,1,56
2021-02-17,75,53,1,54
