fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-08,1,0,0,0
2020-04-09,1,0,0,0
2020-04-10,3,0,0,0
2020-04-11,1,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,4,0,0,0
2020-04-15,2,1,0,1
2020-04-16,3,1,0,1
2020-04-17,4,0,1,1
2020-04-18,5,-1,2,1
2020-04-19,3,1,1,2
2020-04-20,5,1,0,1
2020-04-21,7,1,0,1
2020-04-22,6,2,0,2
2020-04-23,8,2,0,2
2020-04-24,11,2,0,2
2020-04-25,12,2,0,2
2020-04-26,10,3,0,3
2020-04-27,9,1,0,1
2020-04-28,5,2,0,2
2020-04-29,2,3,1,4
2020-04-30,3,5,0,5
2020-05-01,4,5,1,6
2020-05-02,5,4,1,5
2020-05-03,11,4,1,5
2020-05-04,10,1,1,2
2020-05-05,8,2,1,3
2020-05-06,7,2,3,5
2020-05-07,9,3,3,6
2020-05-08,5,3,3,6
2020-05-09,8,3,3,6
2020-05-10,11,3,3,6
2020-05-11,8,3,3,6
2020-05-12,11,2,3,5
2020-05-13,11,2,3,5
2020-05-14,15,4,3,7
2020-05-15,19,3,3,6
2020-05-16,22,2,3,5
2020-05-17,21,4,2,6
2020-05-18,23,4,2,6
2020-05-19,22,5,2,7
2020-05-20,27,5,2,7
2020-05-21,23,7,1,8
2020-05-22,25,6,1,7
2020-05-23,32,7,1,8
2020-05-24,28,8,1,9
2020-05-25,30,7,0,7
2020-05-26,26,5,2,7
2020-05-27,28,4,2,6
2020-05-28,27,3,2,5
2020-05-29,31,4,2,6
2020-05-30,30,4,3,7
2020-05-31,30,6,2,8
2020-06-01,32,6,2,8
2020-06-02,33,8,2,10
2020-06-03,24,10,2,12
2020-06-04,26,9,2,11
2020-06-05,28,11,3,14
2020-06-06,27,11,3,14
2020-06-07,24,13,3,16
2020-06-08,26,12,2,14
2020-06-09,26,13,3,16
2020-06-10,29,13,1,14
2020-06-11,29,16,1,17
2020-06-12,28,16,1,17
2020-06-13,34,13,3,16
2020-06-14,36,11,2,13
2020-06-15,39,8,2,10
2020-06-16,37,8,2,10
2020-06-17,38,8,3,11
2020-06-18,42,9,3,12
2020-06-19,40,15,4,19
2020-06-20,43,14,4,18
2020-06-21,38,12,4,16
2020-06-22,57,14,4,18
2020-06-23,67,14,4,18
2020-06-24,66,14,5,19
2020-06-25,64,19,5,24
2020-06-26,58,18,6,24
2020-06-27,59,16,6,22
2020-06-28,51,23,7,30
2020-06-29,55,18,7,25
2020-06-30,50,20,7,27
2020-07-01,47,15,7,22
2020-07-02,43,16,8,24
2020-07-03,40,16,8,24
2020-07-04,43,16,9,25
2020-07-05,46,14,9,23
2020-07-06,54,14,6,20
2020-07-07,51,18,7,25
2020-07-08,64,13,8,21
2020-07-09,53,19,5,24
2020-07-10,54,23,5,28
2020-07-11,52,26,5,31
2020-07-12,58,23,5,28
2020-07-13,59,25,3,28
2020-07-14,51,25,4,29
2020-07-15,61,23,4,27
2020-07-16,61,24,3,27
2020-07-17,52,28,4,32
2020-07-18,54,31,7,38
2020-07-19,65,36,8,44
2020-07-20,83,27,9,36
2020-07-21,91,26,7,33
2020-07-22,95,31,7,38
2020-07-23,95,30,7,37
2020-07-24,99,32,7,39
2020-07-25,92,28,7,35
2020-07-26,104,32,7,39
2020-07-27,97,33,7,40
2020-07-28,106,37,7,44
2020-07-29,103,37,7,44
2020-07-30,97,39,7,46
2020-07-31,97,39,6,45
2020-08-01,79,34,4,38
2020-08-02,83,39,6,45
2020-08-03,78,42,10,52
2020-08-04,82,32,16,48
2020-08-05,83,43,6,49
