fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,89,0,52,52
2020-04-02,121,-2,61,59
2020-04-03,129,-2,27,25
2020-04-04,280,-3,50,47
2020-04-05,269,21,53,74
2020-04-06,246,26,47,73
2020-04-07,368,33,64,97
2020-04-08,455,47,62,109
2020-04-09,486,57,81,138
2020-04-10,366,55,52,107
2020-04-11,555,70,96,166
2020-04-12,621,57,75,132
2020-04-13,594,70,83,153
2020-04-14,510,94,103,197
2020-04-15,508,89,112,201
2020-04-16,579,46,99,145
2020-04-17,621,112,107,219
2020-04-18,691,112,116,228
2020-04-19,762,128,105,233
2020-04-20,697,65,64,129
2020-04-21,903,150,139,289
2020-04-22,808,138,74,212
2020-04-23,984,121,140,261
2020-04-24,942,170,140,310
2020-04-25,931,198,131,329
2020-04-26,1053,208,169,377
2020-04-27,1228,243,187,430
2020-04-28,1458,242,245,487
2020-04-29,1664,222,277,499
2020-04-30,1783,228,300,528
2020-05-01,2056,257,309,566
2020-05-02,2129,226,325,551
2020-05-03,1925,253,317,570
2020-05-04,1951,208,316,524
2020-05-05,2182,248,337,585
2020-05-06,2066,261,330,591
2020-05-07,2241,224,359,583
2020-05-08,2487,225,412,637
2020-05-09,2495,207,372,579
2020-05-10,2337,237,340,577
2020-05-11,2757,175,473,648
2020-05-12,2863,192,500,692
2020-05-13,2871,227,497,724
2020-05-14,2938,238,499,737
2020-05-15,2994,216,502,718
2020-05-16,3026,308,441,749
2020-05-17,3114,227,508,735
2020-05-18,3093,281,492,773
2020-05-19,3134,203,564,767
2020-05-20,3061,296,597,893
2020-05-21,3164,269,611,880
2020-05-22,3040,283,614,897
2020-05-23,2787,311,513,824
2020-05-24,2701,289,474,763
2020-05-25,2887,286,535,821
2020-05-26,3041,308,641,949
2020-05-27,2941,344,542,886
2020-05-28,2959,350,526,876
2020-05-29,2911,328,542,870
2020-05-30,2778,345,463,808
2020-05-31,2681,365,404,769
2020-06-01,2836,387,465,852
2020-06-02,2972,373,498,871
2020-06-03,2946,418,459,877
2020-06-04,2947,380,476,856
2020-06-05,2888,369,460,829
2020-06-06,2668,304,381,685
2020-06-07,2749,339,415,754
2020-06-08,2841,291,537,828
2020-06-09,2942,342,465,807
2020-06-10,2932,373,463,836
2020-06-11,2971,377,471,848
2020-06-12,2817,359,399,758
2020-06-13,2665,374,429,803
2020-06-14,2584,359,409,768
2020-06-15,2759,376,467,843
2020-06-16,2672,375,410,785
2020-06-17,2592,366,402,768
2020-06-18,2641,364,402,766
2020-06-19,2761,377,434,811
2020-06-20,2461,349,347,696
2020-06-21,2447,271,366,637
2020-06-22,2600,388,460,848
2020-06-23,2558,307,426,733
2020-06-24,2645,318,453,771
2020-06-25,2513,369,435,804
2020-06-26,2483,335,427,762
2020-06-27,2221,335,360,695
2020-06-28,2141,297,353,650
2020-06-29,2331,387,391,778
2020-06-30,2503,305,375,680
2020-07-01,2562,234,407,641
2020-07-02,2410,350,337,687
2020-07-03,2573,363,422,785
2020-07-04,2379,303,355,658
2020-07-05,2241,246,347,593
2020-07-06,2520,306,448,754
2020-07-07,2489,231,438,669
2020-07-08,2521,277,462,739
2020-07-09,2363,266,427,693
2020-07-10,2399,282,435,717
2020-07-11,2141,203,348,551
2020-07-12,2293,285,395,680
2020-07-13,2342,296,419,715
2020-07-14,2319,268,412,680
2020-07-15,2442,274,423,697
2020-07-16,2311,275,414,689
2020-07-17,2278,275,364,639
2020-07-18,2240,251,390,641
2020-07-19,2480,259,443,702
2020-07-20,2422,233,441,674
2020-07-21,2398,255,443,698
2020-07-22,2328,226,432,658
2020-07-23,2384,237,422,659
2020-07-24,2383,255,400,655
2020-07-25,2398,251,440,691
2020-07-26,2233,199,391,590
2020-07-27,2343,269,416,685
2020-07-28,2317,203,386,589
2020-07-29,2275,254,397,651
2020-07-30,2277,304,408,712
2020-07-31,2217,324,399,723
2020-08-01,2008,289,369,658
2020-08-02,2007,297,348,645
2020-08-03,2107,305,400,705
2020-08-04,2169,326,401,727
2020-08-05,2266,300,452,752
2020-08-06,2184,270,432,702
2020-08-07,2142,276,423,699
2020-08-08,1897,204,327,531
2020-08-09,1895,193,367,560
2020-08-10,2055,286,432,718
2020-08-11,2062,266,410,676
2020-08-12,2001,226,412,638
2020-08-13,1929,240,398,638
2020-08-14,1892,263,370,633
2020-08-15,1766,187,337,524
2020-08-16,1949,237,401,638
2020-08-17,1999,263,417,680
2020-08-18,1957,247,366,613
2020-08-19,2089,253,402,655
2020-08-20,2039,222,419,641
2020-08-21,1881,220,386,606
2020-08-22,1739,221,347,568
2020-08-23,1914,247,406,653
2020-08-24,1895,245,398,643
2020-08-25,1888,236,385,621
2020-08-26,2074,232,419,651
2020-08-27,1981,221,355,576
2020-08-28,2051,247,421,668
2020-08-29,1913,152,360,512
2020-08-30,1933,220,400,620
2020-08-31,2042,233,428,661
2020-09-01,2054,245,370,615
2020-09-02,1964,208,366,574
2020-09-03,2105,226,435,661
2020-09-04,1912,208,364,572
2020-09-05,1851,220,342,562
