fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,1,0,1,1
2020-04-08,4,-1,2,1
2020-04-09,7,0,0,0
2020-04-10,18,0,0,0
2020-04-11,15,0,0,0
2020-04-12,14,0,0,0
2020-04-13,14,0,0,0
2020-04-14,14,0,0,0
2020-04-15,14,0,0,0
2020-04-16,11,0,1,1
2020-04-17,12,-1,1,0
2020-04-18,12,-1,1,0
2020-04-19,11,0,0,0
2020-04-20,11,0,0,0
2020-04-21,9,0,0,0
2020-04-22,22,2,0,2
2020-04-23,20,4,1,5
2020-04-24,22,2,4,6
2020-04-25,23,4,1,5
2020-04-26,17,3,0,3
2020-04-27,9,4,0,4
2020-04-28,9,2,2,4
2020-04-29,16,2,3,5
2020-04-30,16,2,2,4
2020-05-01,17,3,2,5
2020-05-02,14,3,0,3
2020-05-03,15,2,0,2
2020-05-04,19,1,2,3
2020-05-05,18,2,0,2
2020-05-06,19,1,4,5
2020-05-07,25,1,5,6
2020-05-08,19,4,2,6
2020-05-09,19,3,0,3
2020-05-10,17,4,0,4
2020-05-11,15,4,1,5
2020-05-12,22,4,3,7
2020-05-13,23,4,3,7
2020-05-14,26,3,4,7
2020-05-15,23,4,2,6
2020-05-16,27,6,1,7
2020-05-17,29,5,1,6
2020-05-18,18,5,2,7
2020-05-19,14,5,1,6
2020-05-20,23,6,2,8
2020-05-21,21,4,6,10
2020-05-22,30,2,7,9
2020-05-23,29,1,5,6
2020-05-24,45,2,7,9
2020-05-25,61,1,8,9
2020-05-26,42,1,9,10
2020-05-27,23,2,10,12
2020-05-28,25,3,10,13
2020-05-29,32,2,8,10
2020-05-30,31,2,8,10
2020-05-31,35,5,7,12
2020-06-01,47,5,6,11
2020-06-02,49,3,6,9
2020-06-03,39,2,7,9
2020-06-04,40,2,6,8
2020-06-05,37,2,7,9
2020-06-06,49,3,7,10
2020-06-07,55,3,6,9
2020-06-08,71,4,6,10
2020-06-09,70,5,9,14
2020-06-10,55,5,12,17
2020-06-11,70,5,11,16
2020-06-12,55,5,8,13
2020-06-13,59,-3,15,12
2020-06-14,57,3,9,12
2020-06-15,64,6,11,17
2020-06-16,78,9,10,19
2020-06-17,61,15,10,25
2020-06-18,67,12,11,23
2020-06-19,59,14,9,23
2020-06-20,58,14,10,24
2020-06-21,56,13,10,23
2020-06-22,67,10,12,22
2020-06-23,65,12,15,27
2020-06-24,65,9,16,25
2020-06-25,54,14,16,30
2020-06-26,54,13,16,29
2020-06-27,65,12,14,26
2020-06-28,57,14,13,27
2020-06-29,74,12,13,25
2020-06-30,78,16,15,31
2020-07-01,78,12,18,30
2020-07-02,72,7,21,28
2020-07-03,87,7,21,28
2020-07-04,90,8,22,30
2020-07-05,90,1,28,29
2020-07-06,97,9,21,30
2020-07-07,87,5,24,29
2020-07-08,81,9,24,33
2020-07-09,78,11,21,32
2020-07-10,88,11,24,35
2020-07-11,85,10,26,36
2020-07-12,87,15,17,32
2020-07-13,85,13,18,31
2020-07-14,86,10,16,26
2020-07-15,76,9,18,27
2020-07-16,86,8,18,26
2020-07-17,84,3,25,28
2020-07-18,83,5,24,29
2020-07-19,88,7,20,27
2020-07-20,87,11,14,25
2020-07-21,92,11,15,26
2020-07-22,83,12,19,31
2020-07-23,91,7,25,32
2020-07-24,85,11,24,35
2020-07-25,89,7,29,36
2020-07-26,96,5,28,33
2020-07-27,95,2,30,32
2020-07-28,97,9,25,34
2020-07-29,99,13,25,38
2020-07-30,103,8,24,32
2020-07-31,97,7,32,39
2020-08-01,86,9,31,40
2020-08-02,89,9,29,38
2020-08-03,104,9,24,33
2020-08-04,108,9,25,34
2020-08-05,98,4,28,32
2020-08-06,89,4,27,31
2020-08-07,99,5,23,28
2020-08-08,91,6,22,28
2020-08-09,92,5,22,27
2020-08-10,80,1,22,23
2020-08-11,97,-3,23,20
2020-08-12,98,-1,26,25
2020-08-13,107,1,29,30
2020-08-14,107,1,31,32
2020-08-15,112,-1,31,30
2020-08-16,100,-3,36,33
2020-08-17,96,3,32,35
2020-08-18,98,-4,31,27
2020-08-19,100,-3,35,32
2020-08-20,95,-5,36,31
2020-08-21,98,-3,37,34
2020-08-22,93,0,36,36
2020-08-23,89,4,30,34
2020-08-24,102,4,34,38
2020-08-25,105,3,37,40
2020-08-26,102,-1,40,39
2020-08-27,103,5,33,38
2020-08-28,110,-8,42,34
2020-08-29,109,-10,35,25
2020-08-30,109,-5,39,34
2020-08-31,114,-7,38,31
2020-09-01,121,-14,48,34
2020-09-02,115,-18,46,28
2020-09-03,109,-7,37,30
2020-09-04,114,-15,48,33
2020-09-05,107,-12,43,31
2020-09-06,103,-8,34,26
2020-09-07,118,-10,39,29
2020-09-08,122,-8,37,29
2020-09-09,119,-9,37,28
2020-09-10,133,-13,40,27
2020-09-11,134,-9,38,29
2020-09-12,121,-4,32,28
2020-09-13,120,-7,36,29
2020-09-14,124,-6,31,25
2020-09-15,116,-6,34,28
2020-09-16,101,2,25,27
2020-09-17,100,-11,39,28
2020-09-18,108,-11,35,24
2020-09-19,85,-4,23,19
2020-09-20,99,-8,33,25
2020-09-21,96,-6,31,25
2020-09-22,94,-8,32,24
2020-09-23,86,0,26,26
2020-09-24,79,1,22,23
2020-09-25,82,-3,26,23
2020-09-26,84,-8,27,19
2020-09-27,92,-9,28,19
2020-09-28,89,-8,28,20
2020-09-29,87,-6,29,23
2020-09-30,88,-2,24,22
2020-10-01,92,-1,22,21
2020-10-02,93,0,18,18
2020-10-03,93,0,18,18
2020-10-04,84,1,16,17
2020-10-05,93,-3,20,17
2020-10-06,92,-8,27,19
2020-10-07,107,-9,28,19
2020-10-08,93,-4,26,22
2020-10-09,101,-5,29,24
2020-10-10,104,-5,28,23
2020-10-11,100,4,29,33
2020-10-12,98,2,33,35
2020-10-13,113,-7,39,32
2020-10-14,121,-4,40,36
