fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-08,4,2,0,2
2020-04-09,2,4,0,4
2020-04-10,36,3,1,4
2020-04-11,13,2,2,4
2020-04-12,19,3,4,7
2020-04-13,23,3,4,7
2020-04-14,20,5,1,6
2020-04-15,19,3,2,5
2020-04-16,19,7,2,9
2020-04-17,23,6,2,8
2020-04-18,22,7,3,10
2020-04-19,18,8,2,10
2020-04-20,32,8,4,12
2020-04-21,35,11,5,16
2020-04-22,27,7,10,17
2020-04-23,28,2,11,13
2020-04-24,30,2,10,12
2020-04-25,25,5,12,17
2020-04-26,18,4,12,16
2020-04-27,41,1,14,15
2020-04-28,40,2,11,13
2020-04-29,58,-9,19,10
2020-04-30,65,-2,17,15
2020-05-01,65,-3,16,13
2020-05-02,65,-1,12,11
2020-05-03,79,5,13,18
2020-05-04,80,-4,23,19
2020-05-05,87,2,19,21
2020-05-06,62,-1,18,17
2020-05-07,83,-6,22,16
2020-05-08,87,-3,24,21
2020-05-09,75,-1,21,20
2020-05-10,101,0,21,21
2020-05-11,136,-3,26,23
2020-05-12,123,2,28,30
2020-05-13,131,4,28,32
2020-05-14,131,4,27,31
2020-05-15,124,8,28,36
2020-05-16,90,6,29,35
2020-05-17,103,14,26,40
2020-05-18,135,8,33,41
2020-05-19,140,12,30,42
2020-05-20,134,11,35,46
2020-05-21,138,10,42,52
2020-05-22,205,15,35,50
2020-05-23,236,15,35,50
2020-05-24,230,18,35,53
2020-05-25,227,22,31,53
2020-05-26,221,22,33,55
2020-05-27,224,35,36,71
2020-05-28,220,35,33,68
2020-05-29,212,36,27,63
2020-05-30,251,33,29,62
2020-05-31,255,28,33,61
2020-06-01,279,33,29,62
2020-06-02,281,41,23,64
2020-06-03,274,39,26,65
2020-06-04,260,32,35,67
2020-06-05,256,35,38,73
2020-06-06,278,36,42,78
2020-06-07,253,46,41,87
2020-06-08,259,27,58,85
2020-06-09,276,44,45,89
2020-06-10,284,36,46,82
2020-06-11,272,31,46,77
2020-06-12,284,38,52,90
2020-06-13,267,28,52,80
2020-06-14,277,48,47,95
2020-06-15,301,34,46,80
2020-06-16,280,40,41,81
2020-06-17,304,53,45,98
2020-06-18,282,50,44,94
2020-06-19,275,51,43,94
2020-06-20,272,49,39,88
2020-06-21,248,49,44,93
2020-06-22,250,47,44,91
2020-06-23,261,42,40,82
2020-06-24,264,45,40,85
2020-06-25,257,47,44,91
2020-06-26,250,55,44,99
2020-06-27,245,30,72,102
2020-06-28,242,47,49,96
2020-06-29,239,42,50,92
2020-06-30,243,43,44,87
2020-07-01,224,44,46,90
2020-07-02,215,43,46,89
2020-07-03,221,41,47,88
2020-07-04,207,41,48,89
2020-07-05,232,35,43,78
2020-07-06,223,37,47,84
2020-07-07,190,38,42,80
2020-07-08,210,39,40,79
2020-07-09,209,23,55,78
2020-07-10,216,39,48,87
2020-07-11,213,45,48,93
2020-07-12,213,44,49,93
2020-07-13,222,46,43,89
2020-07-14,239,46,40,86
2020-07-15,226,50,35,85
2020-07-16,222,41,37,78
2020-07-17,217,41,41,82
2020-07-18,225,35,40,75
2020-07-19,234,37,43,80
2020-07-20,219,33,40,73
2020-07-21,226,29,41,70
2020-07-22,216,30,42,72
2020-07-23,218,35,38,73
2020-07-24,209,29,44,73
2020-07-25,214,30,37,67
2020-07-26,227,17,41,58
2020-07-27,230,20,33,53
2020-07-28,208,25,35,60
2020-07-29,203,12,44,56
2020-07-30,202,21,39,60
2020-07-31,197,17,40,57
2020-08-01,183,16,34,50
2020-08-02,194,15,36,51
2020-08-03,208,10,37,47
2020-08-04,215,12,34,46
2020-08-05,214,11,37,48
2020-08-06,208,9,36,45
2020-08-07,209,6,40,46
2020-08-08,203,6,39,45
2020-08-09,200,4,43,47
2020-08-10,201,8,45,53
2020-08-11,196,4,45,49
2020-08-12,192,1,40,41
2020-08-13,201,4,40,44
2020-08-14,191,4,36,40
2020-08-15,184,10,40,50
2020-08-16,196,6,40,46
2020-08-17,188,10,43,53
2020-08-18,183,15,31,46
2020-08-19,179,12,29,41
2020-08-20,166,10,29,39
2020-08-21,179,5,26,31
2020-08-22,168,7,26,33
2020-08-23,164,6,23,29
2020-08-24,171,8,27,35
2020-08-25,164,5,31,36
2020-08-26,155,-1,29,28
