fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,1,1
2020-04-08,7,2,1,3
2020-04-09,42,3,3,6
2020-04-10,31,5,4,9
2020-04-11,29,4,5,9
2020-04-12,29,6,5,11
2020-04-13,30,5,4,9
2020-04-14,32,2,4,6
2020-04-15,28,4,4,8
2020-04-16,31,4,4,8
2020-04-17,35,3,4,7
2020-04-18,42,4,1,5
2020-04-19,40,4,1,5
2020-04-20,55,3,3,6
2020-04-21,46,4,5,9
2020-04-22,47,4,8,12
2020-04-23,44,3,10,13
2020-04-24,35,3,8,11
2020-04-25,32,5,6,11
2020-04-26,38,3,9,12
2020-04-27,35,4,7,11
2020-04-28,27,4,7,11
2020-04-29,48,3,9,12
2020-04-30,54,4,6,10
2020-05-01,53,3,7,10
2020-05-02,56,4,6,10
2020-05-03,63,3,6,9
2020-05-04,57,4,9,13
2020-05-05,51,6,9,15
2020-05-06,57,4,9,13
2020-05-07,54,5,8,13
2020-05-08,57,5,9,14
2020-05-09,56,7,10,17
2020-05-10,56,7,8,15
2020-05-11,71,10,8,18
2020-05-12,79,6,10,16
2020-05-13,71,5,8,13
2020-05-14,77,-1,12,11
2020-05-15,56,3,11,14
2020-05-16,69,5,10,15
2020-05-17,85,7,11,18
2020-05-18,79,7,11,18
2020-05-19,67,7,10,17
2020-05-20,72,8,9,17
2020-05-21,69,8,9,17
2020-05-22,60,10,7,17
2020-05-23,61,15,5,20
2020-05-24,67,15,7,22
2020-05-25,77,17,6,23
2020-05-26,77,13,9,22
2020-05-27,85,12,6,18
2020-05-28,85,11,9,20
2020-05-29,88,10,10,20
2020-05-30,86,8,10,18
2020-05-31,70,12,8,20
2020-06-01,107,10,11,21
2020-06-02,111,7,14,21
2020-06-03,115,11,12,23
2020-06-04,117,10,13,23
2020-06-05,128,10,14,24
2020-06-06,136,12,13,25
2020-06-07,132,11,14,25
2020-06-08,126,12,13,25
2020-06-09,127,13,14,27
2020-06-10,153,16,13,29
2020-06-11,178,17,17,34
