fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,0,0
2020-04-08,9,-1,1,0
2020-04-09,10,0,0,0
2020-04-10,14,0,1,1
2020-04-11,18,1,2,3
2020-04-12,21,2,2,4
2020-04-13,21,-1,5,4
2020-04-14,22,-2,5,3
2020-04-15,20,-2,5,3
2020-04-16,20,-2,5,3
2020-04-17,23,-1,4,3
2020-04-18,16,0,5,5
2020-04-19,25,-3,8,5
2020-04-20,19,0,7,7
2020-04-21,23,-2,8,6
2020-04-22,19,0,6,6
2020-04-23,35,2,5,7
2020-04-24,35,1,7,8
2020-04-25,37,0,7,7
2020-04-26,44,0,7,7
2020-04-27,54,5,10,15
2020-04-28,65,4,5,9
2020-04-29,153,3,15,18
2020-04-30,161,2,14,16
2020-05-01,172,4,13,17
2020-05-02,172,1,14,15
2020-05-03,162,4,16,20
2020-05-04,152,3,16,19
2020-05-05,167,4,17,21
2020-05-06,182,5,16,21
2020-05-07,181,7,18,25
2020-05-08,152,6,18,24
2020-05-09,197,3,17,20
2020-05-10,193,4,16,20
2020-05-11,201,0,16,16
2020-05-12,197,5,17,22
2020-05-13,199,1,15,16
2020-05-14,193,1,16,17
2020-05-15,194,2,17,19
2020-05-16,185,-1,19,18
2020-05-17,182,3,19,22
2020-05-18,198,1,16,17
2020-05-19,197,2,14,16
2020-05-20,205,2,15,17
2020-05-21,187,3,15,18
2020-05-22,177,6,16,22
2020-05-23,152,12,17,29
2020-05-24,143,6,18,24
2020-05-25,140,9,17,26
2020-05-26,143,10,17,27
2020-05-27,148,11,19,30
2020-05-28,162,7,19,26
2020-05-29,157,11,18,29
2020-05-30,151,18,17,35
2020-05-31,188,10,18,28
2020-06-01,192,9,20,29
2020-06-02,178,13,22,35
2020-06-03,187,14,24,38
2020-06-04,180,17,23,40
2020-06-05,179,14,22,36
2020-06-06,185,16,19,35
2020-06-07,175,18,20,38
2020-06-08,192,18,20,38
2020-06-09,173,14,20,34
2020-06-10,179,12,21,33
2020-06-11,168,15,21,36
2020-06-12,167,17,15,32
2020-06-13,167,18,23,41
2020-06-14,178,13,25,38
2020-06-15,199,9,28,37
2020-06-16,211,6,29,35
2020-06-17,175,13,20,33
2020-06-18,182,12,28,40
2020-06-19,184,20,26,46
2020-06-20,173,14,23,37
2020-06-21,182,16,23,39
2020-06-22,172,15,24,39
2020-06-23,160,13,15,28
2020-06-24,164,12,20,32
2020-06-25,179,12,19,31
2020-06-26,185,10,22,32
2020-06-27,132,17,23,40
2020-06-28,151,13,23,36
2020-06-29,151,12,23,35
2020-06-30,144,13,24,37
2020-07-01,133,8,24,32
2020-07-02,124,8,21,29
2020-07-03,126,14,19,33
2020-07-04,111,15,19,34
2020-07-05,111,9,24,33
2020-07-06,110,13,23,36
2020-07-07,104,9,25,34
2020-07-08,119,14,21,35
2020-07-09,118,15,17,32
2020-07-10,107,13,17,30
2020-07-11,107,13,16,29
2020-07-12,113,9,16,25
2020-07-13,101,13,16,29
2020-07-14,107,12,17,29
2020-07-15,109,8,18,26
2020-07-16,119,8,16,24
2020-07-17,125,5,19,24
2020-07-18,108,9,17,26
2020-07-19,111,14,17,31
2020-07-20,109,9,17,26
2020-07-21,102,12,14,26
2020-07-22,111,14,14,28
2020-07-23,111,11,17,28
2020-07-24,122,7,18,25
2020-07-25,111,9,15,24
2020-07-26,117,9,17,26
2020-07-27,122,6,17,23
2020-07-28,140,6,21,27
2020-07-29,139,6,23,29
2020-07-30,144,19,16,35
2020-07-31,140,19,19,38
2020-08-01,140,14,25,39
2020-08-02,148,10,26,36
2020-08-03,153,-3,30,27
2020-08-04,140,12,24,36
2020-08-05,113,14,18,32
2020-08-06,120,13,17,30
2020-08-07,124,14,20,34
2020-08-08,127,16,16,32
2020-08-09,114,21,17,38
2020-08-10,114,17,15,32
2020-08-11,125,14,21,35
2020-08-12,116,10,20,30
2020-08-13,108,15,23,38
2020-08-14,119,11,21,32
2020-08-15,103,14,20,34
2020-08-16,146,3,20,23
2020-08-17,136,10,20,30
2020-08-18,126,13,19,32
2020-08-19,119,19,17,36
2020-08-20,107,15,19,34
2020-08-21,115,16,21,37
2020-08-22,129,5,26,31
2020-08-23,117,12,27,39
2020-08-24,121,5,29,34
2020-08-25,99,8,21,29
2020-08-26,112,5,28,33
2020-08-27,104,7,25,32
2020-08-28,139,5,22,27
2020-08-29,133,0,19,19
2020-08-30,155,-1,26,25
2020-08-31,122,9,19,28
2020-09-01,125,5,21,26
2020-09-02,140,1,20,21
2020-09-03,107,3,24,27
2020-09-04,96,5,19,24
2020-09-05,87,4,23,27
2020-09-06,81,9,22,31
2020-09-07,96,1,21,22
2020-09-08,106,-2,21,19
2020-09-09,94,1,21,22
2020-09-10,90,1,19,20
2020-09-11,84,4,17,21
2020-09-12,87,4,15,19
2020-09-13,107,-3,15,12
2020-09-14,86,8,12,20
2020-09-15,89,10,13,23
2020-09-16,80,11,14,25
2020-09-17,94,9,14,23
2020-09-18,94,9,13,22
2020-09-19,104,12,10,22
2020-09-20,97,13,9,22
2020-09-21,102,13,10,23
2020-09-22,100,10,10,20
2020-09-23,95,15,11,26
2020-09-24,94,16,11,27
2020-09-25,89,18,10,28
2020-09-26,56,14,7,21
2020-09-27,89,18,9,27
2020-09-28,73,21,10,31
2020-09-29,71,15,10,25
2020-09-30,51,9,12,21
2020-10-01,68,18,9,27
2020-10-02,67,18,6,24
2020-10-03,61,19,8,27
2020-10-04,61,18,9,27
2020-10-05,65,17,8,25
2020-10-06,74,14,9,23
2020-10-07,72,14,10,24
2020-10-08,65,14,7,21
2020-10-09,72,12,7,19
2020-10-10,74,12,9,21
2020-10-11,77,14,8,22
2020-10-12,70,17,9,26
2020-10-13,77,12,8,20
2020-10-14,62,12,6,18
2020-10-15,64,12,9,21
2020-10-16,66,7,8,15
2020-10-17,50,6,8,14
2020-10-18,79,10,8,18
2020-10-19,78,7,8,15
2020-10-20,87,7,8,15
2020-10-21,86,12,8,20
2020-10-22,73,14,9,23
2020-10-23,69,18,10,28
2020-10-24,68,17,9,26
2020-10-25,65,24,9,33
2020-10-26,76,17,11,28
2020-10-27,81,16,11,27
2020-10-28,79,17,11,28
2020-10-29,72,19,11,30
2020-10-30,76,15,12,27
2020-10-31,66,19,10,29
2020-11-01,67,19,9,28
2020-11-02,74,18,10,28
2020-11-03,70,27,9,36
2020-11-04,74,24,9,33
2020-11-05,68,15,9,24
2020-11-06,73,13,10,23
2020-11-07,72,10,12,22
2020-11-08,76,12,11,23
2020-11-09,79,15,12,27
2020-11-10,86,14,10,24
2020-11-11,82,20,9,29
2020-11-12,79,19,7,26
2020-11-13,73,17,7,24
2020-11-14,65,10,10,20
2020-11-15,71,9,13,22
2020-11-16,64,11,15,26
2020-11-17,80,9,16,25
