fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,1,-1,3,2
2020-04-08,7,0,1,1
2020-04-09,4,1,0,1
2020-04-10,3,3,0,3
2020-04-11,13,1,2,3
2020-04-12,19,3,4,7
2020-04-13,21,2,3,5
2020-04-14,22,4,2,6
2020-04-15,14,6,2,8
2020-04-16,15,7,2,9
2020-04-17,18,8,2,10
2020-04-18,35,1,15,16
2020-04-19,35,3,17,20
2020-04-20,43,0,17,17
2020-04-21,45,-1,21,20
2020-04-22,45,3,17,20
2020-04-23,40,3,14,17
2020-04-24,35,4,13,17
2020-04-25,62,4,16,20
2020-04-26,59,3,17,20
2020-04-27,53,5,18,23
2020-04-28,68,3,17,20
2020-04-29,89,2,15,17
2020-04-30,102,1,23,24
2020-05-01,100,-1,25,24
2020-05-02,108,-1,30,29
2020-05-03,108,-3,29,26
2020-05-04,116,-4,30,26
2020-05-05,104,0,29,29
2020-05-06,103,1,29,30
2020-05-07,112,0,29,29
2020-05-08,80,8,24,32
2020-05-09,105,-1,33,32
2020-05-10,108,-1,35,34
2020-05-11,107,0,33,33
2020-05-12,142,-5,41,36
2020-05-13,137,-5,34,29
2020-05-14,149,-7,39,32
2020-05-15,156,-4,36,32
2020-05-16,147,2,32,34
2020-05-17,157,1,33,34
2020-05-18,178,6,33,39
2020-05-19,182,10,33,43
2020-05-20,184,5,35,40
2020-05-21,180,7,35,42
2020-05-22,178,14,41,55
2020-05-23,162,22,35,57
2020-05-24,205,26,30,56
2020-05-25,213,17,40,57
2020-05-26,216,18,41,59
2020-05-27,179,17,28,45
2020-05-28,205,16,49,65
2020-05-29,192,19,49,68
2020-05-30,185,19,47,66
2020-05-31,199,15,52,67
2020-06-01,210,13,50,63
2020-06-02,218,12,48,60
2020-06-03,209,11,52,63
2020-06-04,222,12,50,62
2020-06-05,240,7,52,59
2020-06-06,248,10,56,66
2020-06-07,259,8,64,72
2020-06-08,265,0,71,71
