fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,2,1,0,1
2020-04-08,10,2,0,2
2020-04-09,8,2,0,2
2020-04-10,7,2,0,2
2020-04-11,6,2,0,2
2020-04-12,0,2,0,2
2020-04-13,7,1,0,1
2020-04-14,4,1,0,1
2020-04-15,4,1,0,1
2020-04-16,5,1,0,1
2020-04-17,6,1,0,1
2020-04-18,6,1,0,1
2020-04-19,8,1,0,1
2020-04-20,9,1,0,1
2020-04-21,5,1,0,1
2020-04-22,8,1,0,1
2020-04-23,10,1,0,1
2020-04-24,6,2,0,2
2020-04-25,5,1,0,1
2020-04-26,8,0,0,0
2020-04-27,6,1,0,1
2020-04-28,9,1,0,1
2020-04-29,11,2,0,2
2020-04-30,10,1,0,1
2020-05-01,11,2,0,2
2020-05-02,9,2,0,2
2020-05-03,16,2,0,2
2020-05-04,15,3,0,3
2020-05-05,22,4,0,4
2020-05-06,22,3,0,3
2020-05-07,21,4,0,4
2020-05-08,21,5,0,5
2020-05-09,24,3,0,3
2020-05-10,24,4,0,4
2020-05-11,24,5,0,5
2020-05-12,26,4,0,4
2020-05-13,37,9,0,9
2020-05-14,41,7,0,7
2020-05-15,40,11,0,11
2020-05-16,61,-2,14,12
2020-05-17,55,-2,13,11
2020-05-18,51,-1,13,12
2020-05-19,51,-6,16,10
2020-05-20,50,-4,16,12
2020-05-21,39,11,0,11
2020-05-22,42,11,0,11
2020-05-23,45,12,0,12
2020-05-24,47,17,0,17
2020-05-25,47,19,0,19
2020-05-26,51,19,0,19
2020-05-27,47,22,0,22
2020-05-28,60,21,0,21
2020-05-29,63,20,0,20
2020-05-30,57,21,0,21
2020-05-31,54,14,0,14
2020-06-01,51,21,0,21
2020-06-02,58,20,0,20
2020-06-03,63,21,0,21
2020-06-04,66,21,0,21
2020-06-05,62,20,0,20
2020-06-06,73,20,0,20
2020-06-07,68,20,0,20
2020-06-08,69,19,2,21
2020-06-09,67,22,0,22
2020-06-10,59,24,0,24
2020-06-11,65,25,0,25
