fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,5,0,0,0
2020-04-08,22,0,3,3
2020-04-09,17,0,5,5
2020-04-10,21,-2,5,3
2020-04-11,16,-3,5,2
2020-04-12,21,-3,4,1
2020-04-13,74,1,8,9
2020-04-14,33,-3,5,2
2020-04-15,28,2,3,5
2020-04-16,33,7,4,11
2020-04-17,30,6,3,9
2020-04-18,49,8,7,15
2020-04-19,52,12,8,20
2020-04-20,56,8,8,16
2020-04-21,57,6,6,12
2020-04-22,35,2,6,8
2020-04-23,95,5,8,13
2020-04-24,87,4,12,16
2020-04-25,96,10,15,25
2020-04-26,103,8,19,27
2020-04-27,98,12,16,28
2020-04-28,104,11,18,29
2020-04-29,109,9,21,30
2020-04-30,116,12,21,33
2020-05-01,137,6,27,33
2020-05-02,142,6,27,33
2020-05-03,169,10,24,34
2020-05-04,177,13,24,37
2020-05-05,177,8,29,37
2020-05-06,182,20,27,47
2020-05-07,200,20,27,47
2020-05-08,182,29,28,57
2020-05-09,187,18,35,53
2020-05-10,191,16,35,51
2020-05-11,216,22,38,60
2020-05-12,195,36,37,73
2020-05-13,207,22,37,59
2020-05-14,200,28,37,65
2020-05-15,217,20,47,67
2020-05-16,221,7,60,67
2020-05-17,245,4,64,68
2020-05-18,257,43,33,76
2020-05-19,263,40,35,75
2020-05-20,246,45,34,79
2020-05-21,292,44,29,73
2020-05-22,295,45,31,76
2020-05-23,284,48,28,76
2020-05-24,304,61,28,89
2020-05-25,314,59,29,88
2020-05-26,297,63,34,97
2020-05-27,307,65,39,104
2020-05-28,304,85,41,126
2020-05-29,309,86,39,125
2020-05-30,321,86,38,124
2020-05-31,349,80,36,116
2020-06-01,327,89,36,125
2020-06-02,332,80,35,115
2020-06-03,313,82,33,115
2020-06-04,304,83,34,117
2020-06-05,305,78,37,115
2020-06-06,306,85,35,120
2020-06-07,350,69,38,107
2020-06-08,357,83,39,122
2020-06-09,337,91,39,130
2020-06-10,337,98,37,135
2020-06-11,285,72,28,100
2020-06-12,359,93,35,128
2020-06-13,348,101,35,136
2020-06-14,410,103,39,142
2020-06-15,403,88,35,123
2020-06-16,391,104,36,140
2020-06-17,398,106,32,138
2020-06-18,407,91,33,124
2020-06-19,414,97,36,133
2020-06-20,405,105,36,141
2020-06-21,429,102,35,137
2020-06-22,427,91,36,127
2020-06-23,439,94,33,127
