fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-08,47,10,1,11
2020-04-09,40,6,2,8
2020-04-10,42,9,1,10
2020-04-11,36,7,1,8
2020-04-12,37,7,1,8
2020-04-13,37,6,1,7
2020-04-14,45,4,1,5
2020-04-15,44,5,0,5
2020-04-16,38,6,1,7
2020-04-17,77,4,8,12
2020-04-18,77,6,11,17
2020-04-19,87,9,9,18
2020-04-20,104,4,14,18
2020-04-21,108,4,16,20
2020-04-22,116,5,21,26
2020-04-23,121,10,21,31
2020-04-24,121,12,22,34
2020-04-25,91,15,17,32
2020-04-26,40,17,4,21
2020-04-27,105,18,17,35
2020-04-28,113,26,12,38
2020-04-29,133,22,18,40
2020-04-30,131,21,18,39
2020-05-01,109,13,23,36
2020-05-02,129,9,26,35
2020-05-03,126,6,30,36
2020-05-04,150,11,29,40
2020-05-05,161,10,26,36
2020-05-06,151,11,27,38
2020-05-07,141,15,25,40
2020-05-08,144,15,28,43
2020-05-09,131,19,25,44
2020-05-10,133,22,24,46
2020-05-11,138,21,25,46
2020-05-12,141,17,27,44
2020-05-13,134,25,21,46
2020-05-14,115,15,24,39
2020-05-15,110,11,21,32
2020-05-16,104,7,22,29
2020-05-17,145,4,34,38
2020-05-18,104,12,22,34
2020-05-19,111,10,17,27
2020-05-20,110,7,18,25
2020-05-21,114,6,21,27
2020-05-22,110,8,22,30
2020-05-23,110,7,19,26
2020-05-24,118,6,21,27
2020-05-25,131,6,22,28
2020-05-26,136,-29,57,28
2020-05-27,115,14,21,35
2020-05-28,122,13,21,34
2020-05-29,109,13,23,36
2020-05-30,96,20,20,40
2020-05-31,92,26,19,45
2020-06-01,103,17,26,43
2020-06-02,98,12,27,39
2020-06-03,95,12,24,36
2020-06-04,96,18,21,39
2020-06-05,104,20,21,41
2020-06-06,110,26,19,45
2020-06-07,94,23,23,46
2020-06-08,95,16,25,41
2020-06-09,98,12,30,42
2020-06-10,97,11,27,38
2020-06-11,100,10,26,36
2020-06-12,104,13,21,34
2020-06-13,99,16,20,36
2020-06-14,102,16,20,36
2020-06-15,114,11,26,37
2020-06-16,123,10,24,34
2020-06-17,135,21,22,43
2020-06-18,133,23,30,53
2020-06-19,131,31,30,61
2020-06-20,133,29,32,61
2020-06-21,136,25,31,56
2020-06-22,143,31,30,61
2020-06-23,155,29,29,58
2020-06-24,142,32,30,62
2020-06-25,151,36,29,65
2020-06-26,156,33,37,70
2020-06-27,150,30,32,62
2020-06-28,155,32,33,65
2020-06-29,159,38,35,73
2020-06-30,167,33,33,66
2020-07-01,184,41,31,72
2020-07-02,187,47,30,77
2020-07-03,214,47,33,80
2020-07-04,199,47,40,87
2020-07-05,225,49,35,84
2020-07-06,216,53,34,87
2020-07-07,256,58,38,96
2020-07-08,266,56,40,96
2020-07-09,256,65,31,96
2020-07-10,265,62,30,92
2020-07-11,288,53,40,93
2020-07-12,284,53,37,90
2020-07-13,273,59,37,96
2020-07-14,290,49,40,89
2020-07-15,307,40,41,81
2020-07-16,305,46,44,90
2020-07-17,281,52,37,89
2020-07-18,283,59,40,99
2020-07-19,271,60,31,91
2020-07-20,329,52,45,97
2020-07-21,298,70,36,106
2020-07-22,301,75,35,110
2020-07-23,302,70,38,108
2020-07-24,294,69,44,113
2020-07-25,294,63,42,105
2020-07-26,320,54,50,104
2020-07-27,331,65,43,108
2020-07-28,295,67,43,110
2020-07-29,305,66,48,114
2020-07-30,307,60,45,105
2020-07-31,249,57,40,97
2020-08-01,276,61,46,107
2020-08-02,291,54,53,107
2020-08-03,279,64,46,110
2020-08-04,285,61,50,111
2020-08-05,261,64,45,109
2020-08-06,257,65,41,106
2020-08-07,250,51,51,102
2020-08-08,237,64,44,108
2020-08-09,244,59,40,99
2020-08-10,239,64,39,103
2020-08-11,237,62,40,102
2020-08-12,239,66,33,99
2020-08-13,232,60,40,100
2020-08-14,226,67,32,99
2020-08-15,219,64,38,102
2020-08-16,222,61,34,95
2020-08-17,210,66,31,97
2020-08-18,210,57,42,99
2020-08-19,205,59,39,98
2020-08-20,205,49,41,90
2020-08-21,186,53,42,95
2020-08-22,192,43,38,81
2020-08-23,183,41,33,74
2020-08-24,178,44,33,77
2020-08-25,164,44,32,76
2020-08-26,157,45,29,74
2020-08-27,149,32,32,64
2020-08-28,154,34,30,64
2020-08-29,169,35,28,63
2020-08-30,171,31,29,60
2020-08-31,168,34,28,62
2020-09-01,161,39,27,66
2020-09-02,155,42,26,68
2020-09-03,155,45,21,66
2020-09-04,140,47,21,68
2020-09-05,130,42,21,63
2020-09-06,136,35,24,59
2020-09-07,130,32,27,59
2020-09-08,129,33,29,62
2020-09-09,132,24,40,64
2020-09-10,129,21,41,62
2020-09-11,127,33,21,54
2020-09-12,113,33,25,58
