fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,15,8,1,9
2020-04-08,62,10,0,10
2020-04-09,33,-5,22,17
2020-04-10,31,12,0,12
2020-04-11,41,15,0,15
2020-04-12,38,18,0,18
2020-04-13,37,18,0,18
2020-04-14,37,18,0,18
2020-04-15,39,15,2,17
2020-04-16,38,16,2,18
2020-04-17,53,15,1,16
2020-04-18,52,21,0,21
2020-04-19,53,19,0,19
2020-04-20,50,17,0,17
2020-04-21,71,18,3,21
2020-04-22,78,17,1,18
2020-04-23,85,20,1,21
2020-04-24,70,23,1,24
2020-04-25,77,27,1,28
2020-04-26,78,26,3,29
2020-04-27,83,25,3,28
2020-04-28,85,29,4,33
2020-04-29,136,28,6,34
2020-04-30,140,33,6,39
2020-05-01,155,35,6,41
2020-05-02,154,34,6,40
2020-05-03,156,35,6,41
2020-05-04,179,29,6,35
2020-05-05,189,28,6,34
2020-05-06,176,30,6,36
2020-05-07,173,29,6,35
2020-05-08,193,29,7,36
2020-05-09,188,27,7,34
2020-05-10,197,25,8,33
2020-05-11,202,28,8,36
2020-05-12,211,38,8,46
2020-05-13,200,34,8,42
2020-05-14,202,40,8,48
2020-05-15,204,42,6,48
2020-05-16,263,44,13,57
2020-05-17,281,23,35,58
2020-05-18,301,43,16,59
2020-05-19,296,46,18,64
2020-05-20,301,51,14,65
2020-05-21,311,51,15,66
2020-05-22,300,56,19,75
2020-05-23,315,51,16,67
2020-05-24,326,48,19,67
2020-05-25,334,53,20,73
2020-05-26,357,60,19,79
2020-05-27,365,51,36,87
2020-05-28,369,77,24,101
2020-05-29,357,64,29,93
2020-05-30,380,69,27,96
2020-05-31,364,58,24,82
2020-06-01,404,64,18,82
2020-06-02,439,56,30,86
2020-06-03,403,53,29,82
2020-06-04,420,55,30,85
2020-06-05,388,48,30,78
2020-06-06,413,54,30,84
2020-06-07,404,53,30,83
2020-06-08,438,59,26,85
2020-06-09,440,61,29,90
2020-06-10,472,52,27,79
2020-06-11,453,65,23,88
2020-06-12,446,68,26,94
2020-06-13,455,68,35,103
