fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,-1,2,0,2
2020-04-08,15,5,0,5
2020-04-09,9,3,0,3
2020-04-10,15,3,0,3
2020-04-11,12,2,1,3
2020-04-12,9,1,1,2
2020-04-13,11,1,0,1
2020-04-14,11,3,0,3
2020-04-15,14,0,0,0
2020-04-16,13,2,0,2
2020-04-17,11,4,0,4
2020-04-18,13,1,1,2
2020-04-19,14,2,0,2
2020-04-20,17,5,0,5
2020-04-21,14,5,0,5
2020-04-22,13,3,0,3
2020-04-23,10,4,0,4
2020-04-24,8,4,1,5
2020-04-25,14,2,3,5
2020-04-26,15,10,1,11
2020-04-27,18,8,1,9
2020-04-28,21,7,0,7
2020-04-29,24,4,3,7
2020-04-30,24,5,3,8
2020-05-01,24,7,1,8
2020-05-02,27,9,2,11
2020-05-03,29,7,4,11
2020-05-04,29,7,4,11
2020-05-05,31,7,6,13
2020-05-06,33,6,5,11
2020-05-07,25,3,6,9
2020-05-08,24,7,7,14
2020-05-09,28,3,6,9
2020-05-10,32,4,6,10
2020-05-11,29,5,7,12
2020-05-12,32,5,8,13
2020-05-13,40,6,11,17
2020-05-14,42,5,12,17
2020-05-15,47,1,11,12
2020-05-16,40,3,11,14
2020-05-17,40,4,8,12
2020-05-18,48,6,9,15
2020-05-19,55,3,10,13
2020-05-20,57,-2,13,11
2020-05-21,54,1,13,14
2020-05-22,63,1,11,12
2020-05-23,50,4,12,16
2020-05-24,47,4,14,18
2020-05-25,51,5,14,19
2020-05-26,54,3,13,16
2020-05-27,53,-2,15,13
2020-05-28,55,2,15,17
2020-05-29,56,4,15,19
2020-05-30,58,4,17,21
2020-05-31,63,3,18,21
2020-06-01,70,6,16,22
2020-06-02,67,6,16,22
2020-06-03,58,7,15,22
2020-06-04,56,10,14,24
2020-06-05,65,12,14,26
2020-06-06,61,13,15,28
2020-06-07,73,11,12,23
2020-06-08,71,12,15,27
2020-06-09,82,12,15,27
2020-06-10,88,14,15,29
2020-06-11,90,12,16,28
2020-06-12,91,14,15,29
2020-06-13,84,13,16,29
2020-06-14,106,11,13,24
2020-06-15,105,13,12,25
2020-06-16,113,10,15,25
2020-06-17,104,13,17,30
2020-06-18,116,18,17,35
2020-06-19,144,19,20,39
2020-06-20,94,19,19,38
2020-06-21,104,19,17,36
2020-06-22,109,15,18,33
2020-06-23,111,16,19,35
2020-06-24,154,13,20,33
2020-06-25,104,18,20,38
2020-06-26,96,15,16,31
2020-06-27,95,20,12,32
2020-06-28,110,15,12,27
2020-06-29,124,13,14,27
2020-06-30,145,13,16,29
2020-07-01,107,10,13,23
2020-07-02,116,10,13,23
2020-07-03,143,15,20,35
2020-07-04,139,18,18,36
2020-07-05,157,14,19,33
2020-07-06,174,15,20,35
2020-07-07,181,11,23,34
2020-07-08,182,14,23,37
2020-07-09,198,17,24,41
2020-07-10,193,24,24,48
2020-07-11,204,29,22,51
2020-07-12,188,31,22,53
2020-07-13,201,29,23,52
2020-07-14,215,32,22,54
2020-07-15,233,38,22,60
2020-07-16,245,40,23,63
2020-07-17,230,39,30,69
2020-07-18,253,33,33,66
2020-07-19,269,40,28,68
2020-07-20,312,36,30,66
2020-07-21,283,42,35,77
2020-07-22,312,39,34,73
2020-07-23,337,43,33,76
2020-07-24,339,44,31,75
2020-07-25,352,39,31,70
2020-07-26,388,37,38,75
2020-07-27,399,55,27,82
2020-07-28,382,55,35,90
2020-07-29,381,48,37,85
2020-07-30,373,46,39,85
2020-07-31,381,52,39,91
2020-08-01,375,66,33,99
2020-08-02,400,61,30,91
2020-08-03,401,60,28,88
2020-08-04,420,54,33,87
2020-08-05,423,44,34,78
2020-08-06,425,44,38,82
2020-08-07,423,56,28,84
2020-08-08,435,64,30,94
2020-08-09,426,54,37,91
2020-08-10,424,52,40,92
2020-08-11,435,55,37,92
2020-08-12,414,36,51,87
2020-08-13,414,59,31,90
2020-08-14,418,55,41,96
2020-08-15,391,55,39,94
2020-08-16,395,52,42,94
2020-08-17,367,61,30,91
2020-08-18,395,41,47,88
2020-08-19,400,50,43,93
2020-08-20,409,43,45,88
2020-08-21,421,44,43,87
2020-08-22,416,47,44,91
2020-08-23,405,38,44,82
2020-08-24,424,42,41,83
2020-08-25,415,39,42,81
2020-08-26,388,39,37,76
2020-08-27,379,46,33,79
2020-08-28,369,47,32,79
2020-08-29,375,49,32,81
2020-08-30,376,50,30,80
2020-08-31,366,58,28,86
2020-09-01,363,46,33,79
2020-09-02,330,42,31,73
2020-09-03,343,39,34,73
