fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,0,0
2020-04-08,3,0,0,0
2020-04-09,4,1,0,1
2020-04-10,5,0,0,0
2020-04-11,4,0,0,0
2020-04-12,3,1,0,1
2020-04-13,3,1,0,1
2020-04-14,6,1,0,1
2020-04-15,9,1,0,1
2020-04-16,10,0,0,0
2020-04-17,12,1,0,1
2020-04-18,60,11,1,12
2020-04-19,61,12,1,13
2020-04-20,59,11,1,12
2020-04-21,63,16,1,17
2020-04-22,64,18,1,19
2020-04-23,77,21,1,22
2020-04-24,81,17,1,18
2020-04-25,86,19,1,20
2020-04-26,87,22,2,24
2020-04-27,105,17,12,29
2020-04-28,120,30,13,43
2020-04-29,154,30,13,43
2020-04-30,161,27,15,42
2020-05-01,164,30,14,44
2020-05-02,138,44,16,60
2020-05-03,171,23,15,38
2020-05-04,144,45,18,63
2020-05-05,167,26,18,44
2020-05-06,200,1,46,47
2020-05-07,209,1,48,49
2020-05-08,192,-1,46,45
2020-05-09,214,0,45,45
2020-05-10,217,0,50,50
2020-05-11,230,0,47,47
2020-05-12,251,-1,49,48
2020-05-13,259,0,50,50
2020-05-14,283,-2,55,53
2020-05-15,295,-1,57,56
2020-05-16,285,-1,52,51
2020-05-17,278,-3,55,52
2020-05-18,269,11,56,67
2020-05-19,253,10,63,73
2020-05-20,250,3,68,71
2020-05-21,275,0,64,64
2020-05-22,253,18,62,80
2020-05-23,252,17,57,74
2020-05-24,259,15,55,70
2020-05-25,262,5,48,53
2020-05-26,284,7,50,57
2020-05-27,284,9,56,65
2020-05-28,313,4,54,58
2020-05-29,251,10,38,48
2020-05-30,264,13,55,68
2020-05-31,268,9,54,63
2020-06-01,248,14,47,61
2020-06-02,237,22,57,79
2020-06-03,233,25,56,81
2020-06-04,202,23,54,77
2020-06-05,183,26,52,78
2020-06-06,225,26,66,92
2020-06-07,193,21,52,73
2020-06-08,253,16,57,73
2020-06-09,265,18,60,78
2020-06-10,242,19,61,80
2020-06-11,252,19,63,82
2020-06-12,267,19,67,86
2020-06-13,222,20,48,68
2020-06-14,270,22,67,89
2020-06-15,250,21,71,92
2020-06-16,271,19,67,86
2020-06-17,245,14,53,67
2020-06-18,247,16,56,72
2020-06-19,292,15,81,96
2020-06-20,304,17,79,96
2020-06-21,304,17,83,100
2020-06-22,315,22,72,94
2020-06-23,295,22,70,92
2020-06-24,310,24,70,94
2020-06-25,344,24,74,98
2020-06-26,343,23,78,101
2020-06-27,360,23,81,104
2020-06-28,371,20,79,99
2020-06-29,377,19,74,93
2020-06-30,398,24,70,94
2020-07-01,419,28,74,102
2020-07-02,424,26,80,106
2020-07-03,376,14,68,82
2020-07-04,473,19,84,103
2020-07-05,474,24,89,113
2020-07-06,491,19,88,107
2020-07-07,481,16,82,98
2020-07-08,516,15,80,95
2020-07-09,507,20,85,105
2020-07-10,515,15,75,90
2020-07-11,520,15,93,108
2020-07-12,505,17,94,111
2020-07-13,502,20,94,114
2020-07-14,476,23,90,113
2020-07-15,444,27,78,105
2020-07-16,507,29,98,127
2020-07-17,484,28,90,118
2020-07-18,473,30,95,125
2020-07-19,502,37,96,133
2020-07-20,517,32,99,131
2020-07-21,519,36,101,137
2020-07-22,519,32,97,129
2020-07-23,531,36,96,132
2020-07-24,544,30,107,137
2020-07-25,536,34,100,134
2020-07-26,541,33,109,142
2020-07-27,516,37,105,142
2020-07-28,522,37,105,142
2020-07-29,494,35,108,143
2020-07-30,514,41,101,142
2020-07-31,443,35,85,120
2020-08-01,484,36,94,130
2020-08-02,480,33,99,132
2020-08-03,480,27,93,120
2020-08-04,474,32,91,123
2020-08-05,452,25,91,116
2020-08-06,388,29,74,103
2020-08-07,419,32,82,114
2020-08-08,356,22,74,96
2020-08-09,385,23,89,112
2020-08-10,356,23,83,106
2020-08-11,362,30,73,103
2020-08-12,355,32,75,107
2020-08-13,325,26,62,88
2020-08-14,329,18,70,88
2020-08-15,328,20,66,86
2020-08-16,295,17,65,82
2020-08-17,267,12,63,75
2020-08-18,279,18,59,77
2020-08-19,245,13,59,72
2020-08-20,272,17,55,72
2020-08-21,282,9,63,72
2020-08-22,186,15,33,48
2020-08-23,240,18,51,69
2020-08-24,229,19,49,68
2020-08-25,234,18,49,67
2020-08-26,207,16,52,68
2020-08-27,203,9,45,54
2020-08-28,186,15,47,62
2020-08-29,189,7,45,52
2020-08-30,178,15,52,67
2020-08-31,156,18,52,70
2020-09-01,167,16,45,61
2020-09-02,166,16,40,56
2020-09-03,157,13,42,55
2020-09-04,157,16,28,44
2020-09-05,172,15,40,55
2020-09-06,171,14,37,51
2020-09-07,184,12,33,45
2020-09-08,174,15,33,48
2020-09-09,150,4,32,36
2020-09-10,148,12,42,54
2020-09-11,154,12,43,55
2020-09-12,151,0,45,45
2020-09-13,148,11,45,56
2020-09-14,143,12,39,51
2020-09-15,135,11,27,38
2020-09-16,154,3,35,38
