fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,1,0,1
2020-04-08,5,1,0,1
2020-04-09,7,1,0,1
2020-04-10,6,0,1,1
2020-04-11,4,0,1,1
2020-04-12,5,2,0,2
2020-04-13,3,2,0,2
2020-04-14,6,1,2,3
2020-04-15,3,3,1,4
2020-04-16,4,3,0,3
2020-04-17,5,3,0,3
2020-04-18,4,3,0,3
2020-04-19,5,2,0,2
2020-04-20,8,0,1,1
2020-04-21,6,3,0,3
2020-04-22,9,4,0,4
2020-04-23,12,5,0,5
2020-04-24,12,5,0,5
2020-04-25,9,6,0,6
2020-04-26,7,7,0,7
2020-04-27,7,7,0,7
2020-04-28,7,5,0,5
2020-04-29,18,1,4,5
2020-04-30,23,-1,4,3
2020-05-01,27,-1,5,4
2020-05-02,27,1,5,6
2020-05-03,34,2,5,7
2020-05-04,35,2,5,7
2020-05-05,26,4,5,9
2020-05-06,22,3,5,8
2020-05-07,27,2,5,7
2020-05-08,27,5,5,10
2020-05-09,27,5,5,10
2020-05-10,27,4,5,9
2020-05-11,27,5,5,10
2020-05-12,31,5,7,12
2020-05-13,34,5,7,12
2020-05-14,42,3,8,11
2020-05-15,42,4,8,12
2020-05-16,29,6,6,12
2020-05-17,35,5,5,10
2020-05-18,31,4,5,9
2020-05-19,38,3,7,10
2020-05-20,38,4,6,10
2020-05-21,44,7,7,14
2020-05-22,47,5,8,13
2020-05-23,43,7,8,15
2020-05-24,45,6,6,12
2020-05-25,44,5,8,13
2020-05-26,44,22,8,30
2020-05-27,59,11,8,19
2020-05-28,60,12,8,20
2020-05-29,53,19,8,27
2020-05-30,56,24,8,32
2020-05-31,60,29,8,37
2020-06-01,71,18,8,26
2020-06-02,65,16,8,24
2020-06-03,67,14,8,22
2020-06-04,54,28,7,35
2020-06-05,65,26,7,33
2020-06-06,68,31,8,39
2020-06-07,79,26,7,33
2020-06-08,88,29,7,36
2020-06-09,72,28,7,35
2020-06-10,81,27,7,34
2020-06-11,76,24,7,31
2020-06-12,81,23,7,30
2020-06-13,86,14,7,21
2020-06-14,83,23,6,29
2020-06-15,90,35,5,40
2020-06-16,91,31,6,37
2020-06-17,101,34,6,40
2020-06-18,93,42,7,49
2020-06-19,94,43,7,50
2020-06-20,118,49,6,55
2020-06-21,122,48,6,54
2020-06-22,123,39,6,45
2020-06-23,137,37,8,45
2020-06-24,120,41,6,47
2020-06-25,118,49,8,57
2020-06-26,116,55,7,62
2020-06-27,123,54,7,61
2020-06-28,133,44,7,51
2020-06-29,139,45,6,51
2020-06-30,128,45,6,51
2020-07-01,120,48,4,52
