fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,0,0
2020-04-08,3,0,0,0
2020-04-09,4,0,0,0
2020-04-10,4,1,0,1
2020-04-11,5,1,0,1
2020-04-12,7,1,0,1
2020-04-13,8,1,0,1
2020-04-14,6,2,0,2
2020-04-15,7,2,0,2
2020-04-16,5,3,0,3
2020-04-17,4,3,0,3
2020-04-18,6,4,0,4
2020-04-19,7,4,0,4
2020-04-20,12,5,0,5
2020-04-21,12,6,0,6
2020-04-22,16,5,2,7
2020-04-23,16,6,3,9
2020-04-24,12,5,2,7
2020-04-25,19,3,2,5
2020-04-26,22,4,2,6
2020-04-27,38,3,4,7
2020-04-28,30,2,3,5
2020-04-29,48,1,7,8
2020-04-30,54,-3,9,6
2020-05-01,50,-3,8,5
2020-05-02,52,-4,11,7
2020-05-03,45,-4,13,9
2020-05-04,55,-4,13,9
2020-05-05,42,0,14,14
2020-05-06,61,0,14,14
2020-05-07,61,1,12,13
2020-05-08,69,0,12,12
2020-05-09,55,1,12,13
2020-05-10,44,1,12,13
2020-05-11,71,-4,14,10
2020-05-12,77,1,12,13
2020-05-13,83,-1,13,12
2020-05-14,82,-2,13,11
2020-05-15,81,-3,15,12
2020-05-16,82,-2,16,14
2020-05-17,74,0,17,17
2020-05-18,79,1,14,15
2020-05-19,88,3,16,19
2020-05-20,78,9,15,24
2020-05-21,94,5,23,28
2020-05-22,90,6,18,24
2020-05-23,91,7,17,24
2020-05-24,90,15,18,33
2020-05-25,94,13,21,34
2020-05-26,95,10,20,30
2020-05-27,109,14,20,34
2020-05-28,91,13,23,36
2020-05-29,98,5,27,32
2020-05-30,83,1,26,27
2020-05-31,76,6,16,22
2020-06-01,86,7,15,22
2020-06-02,108,6,21,27
2020-06-03,117,10,18,28
2020-06-04,108,15,20,35
2020-06-05,106,13,29,42
2020-06-06,96,16,28,44
2020-06-07,109,14,29,43
2020-06-08,112,19,28,47
2020-06-09,119,10,31,41
2020-06-10,117,22,24,46
2020-06-11,121,20,24,44
2020-06-12,115,26,29,55
2020-06-13,126,26,23,49
2020-06-14,149,21,31,52
2020-06-15,162,25,28,53
2020-06-16,179,24,27,51
2020-06-17,184,25,21,46
2020-06-18,178,24,23,47
2020-06-19,208,28,27,55
2020-06-20,231,23,30,53
2020-06-21,253,25,30,55
2020-06-22,269,11,51,62
2020-06-23,303,16,41,57
2020-06-24,305,17,40,57
2020-06-25,323,16,52,68
2020-06-26,348,18,56,74
2020-06-27,330,34,43,77
2020-06-28,352,29,43,72
2020-06-29,388,37,46,83
2020-06-30,405,36,47,83
2020-07-01,432,28,55,83
2020-07-02,434,29,56,85
2020-07-03,460,35,59,94
2020-07-04,430,32,47,79
2020-07-05,506,37,58,95
2020-07-06,511,38,53,91
2020-07-07,537,23,51,74
2020-07-08,531,23,60,83
2020-07-09,581,23,69,92
2020-07-10,588,14,79,93
2020-07-11,563,28,68,96
2020-07-12,501,19,58,77
2020-07-13,577,26,72,98
2020-07-14,624,45,56,101
2020-07-15,644,27,74,101
2020-07-16,660,34,78,112
2020-07-17,665,27,83,110
2020-07-18,688,35,75,110
2020-07-19,694,35,69,104
2020-07-20,738,36,80,116
2020-07-21,782,32,86,118
2020-07-22,737,40,71,111
2020-07-23,700,31,73,104
2020-07-24,686,16,77,93
2020-07-25,670,23,69,92
2020-07-26,717,12,80,92
2020-07-27,669,13,80,93
2020-07-28,623,18,61,79
2020-07-29,628,11,72,83
2020-07-30,645,11,80,91
2020-07-31,652,6,83,89
2020-08-01,624,17,75,92
2020-08-02,656,6,88,94
2020-08-03,676,11,85,96
2020-08-04,694,9,96,105
2020-08-05,620,14,91,105
2020-08-06,614,14,96,110
2020-08-07,596,15,97,112
2020-08-08,520,21,68,89
2020-08-09,601,14,85,99
2020-08-10,605,26,87,113
2020-08-11,597,26,85,111
2020-08-12,609,17,91,108
2020-08-13,592,12,98,110
2020-08-14,535,13,93,106
2020-08-15,587,-10,101,91
2020-08-16,565,-8,97,89
2020-08-17,572,2,102,104
2020-08-18,540,-5,103,98
2020-08-19,552,-2,102,100
2020-08-20,529,29,85,114
2020-08-21,504,32,81,113
2020-08-22,472,8,74,82
2020-08-23,502,10,78,88
2020-08-24,484,16,75,91
2020-08-25,500,6,74,80
2020-08-26,472,10,74,84
2020-08-27,428,7,73,80
2020-08-28,452,2,74,76
2020-08-29,435,5,65,70
2020-08-30,439,0,62,62
2020-08-31,467,6,69,75
2020-09-01,458,-10,87,77
2020-09-02,452,-5,78,73
2020-09-03,383,21,47,68
2020-09-04,369,16,65,81
2020-09-05,429,1,65,66
2020-09-06,397,-7,70,63
2020-09-07,426,8,76,84
2020-09-08,404,-1,83,82
2020-09-09,390,-3,76,73
2020-09-10,370,-13,78,65
2020-09-11,345,2,69,71
2020-09-12,340,-3,58,55
2020-09-13,345,-2,56,54
2020-09-14,339,-5,63,58
2020-09-15,339,-12,71,59
