fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,0,0,3,3
2020-04-08,19,0,3,3
2020-04-09,15,1,3,4
2020-04-10,20,2,3,5
2020-04-11,25,1,2,3
2020-04-12,22,2,5,7
2020-04-13,19,2,4,6
2020-04-14,22,2,5,7
2020-04-15,21,1,6,7
2020-04-16,33,2,6,8
2020-04-17,29,2,9,11
2020-04-18,27,3,5,8
2020-04-19,24,6,2,8
2020-04-20,41,0,11,11
2020-04-21,52,2,9,11
2020-04-22,67,0,16,16
2020-04-23,70,-2,19,17
2020-04-24,78,1,23,24
2020-04-25,78,8,20,28
2020-04-26,80,8,18,26
2020-04-27,93,11,26,37
2020-04-28,94,12,29,41
2020-04-29,140,11,34,45
2020-04-30,169,13,47,60
2020-05-01,168,9,45,54
2020-05-02,193,2,51,53
2020-05-03,245,4,48,52
2020-05-04,319,-2,66,64
2020-05-05,326,2,50,52
2020-05-06,340,1,61,62
2020-05-07,335,10,64,74
2020-05-08,360,9,72,81
2020-05-09,339,19,59,78
2020-05-10,341,26,50,76
2020-05-11,375,15,64,79
2020-05-12,409,10,68,78
2020-05-13,400,23,67,90
2020-05-14,422,21,69,90
2020-05-15,416,31,66,97
2020-05-16,402,17,55,72
2020-05-17,474,31,57,88
2020-05-18,488,36,68,104
2020-05-19,460,35,69,104
2020-05-20,481,40,76,116
2020-05-21,480,44,81,125
2020-05-22,484,53,77,130
2020-05-23,455,77,62,139
2020-05-24,510,75,79,154
2020-05-25,454,96,70,166
2020-05-26,476,91,82,173
2020-05-27,484,85,83,168
2020-05-28,488,88,73,161
2020-05-29,438,91,74,165
2020-05-30,431,82,60,142
2020-05-31,474,85,66,151
2020-06-01,507,94,77,171
2020-06-02,558,64,103,167
2020-06-03,540,81,78,159
2020-06-04,535,96,74,170
2020-06-05,532,91,68,159
2020-06-06,506,97,62,159
2020-06-07,522,101,61,162
2020-06-08,551,108,72,180
2020-06-09,549,99,79,178
2020-06-10,558,89,87,176
2020-06-11,538,64,89,153
2020-06-12,502,87,88,175
2020-06-13,400,94,55,149
2020-06-14,480,97,83,180
2020-06-15,449,96,69,165
2020-06-16,536,82,92,174
2020-06-17,464,74,86,160
2020-06-18,517,97,92,189
2020-06-19,537,91,95,186
2020-06-20,548,89,89,178
2020-06-21,521,95,65,160
2020-06-22,574,82,88,170
2020-06-23,623,80,92,172
2020-06-24,626,84,90,174
2020-06-25,616,100,86,186
2020-06-26,623,101,87,188
2020-06-27,620,96,87,183
2020-06-28,609,94,84,178
2020-06-29,583,108,79,187
2020-06-30,628,100,99,199
2020-07-01,632,95,106,201
2020-07-02,651,92,113,205
2020-07-03,653,106,101,207
2020-07-04,672,114,98,212
2020-07-05,699,93,103,196
2020-07-06,740,106,102,208
2020-07-07,711,104,95,199
2020-07-08,728,105,86,191
2020-07-09,763,123,104,227
2020-07-10,762,120,104,224
2020-07-11,706,120,70,190
2020-07-12,794,118,87,205
2020-07-13,787,117,89,206
2020-07-14,826,111,92,203
2020-07-15,802,129,76,205
2020-07-16,834,129,93,222
2020-07-17,784,94,98,192
2020-07-18,839,116,95,211
2020-07-19,835,116,96,212
2020-07-20,846,101,102,203
2020-07-21,852,119,94,213
2020-07-22,883,116,101,217
2020-07-23,904,112,99,211
2020-07-24,909,121,112,233
2020-07-25,934,108,114,222
2020-07-26,911,116,112,228
2020-07-27,930,113,118,231
2020-07-28,923,94,120,214
2020-07-29,885,115,115,230
2020-07-30,792,102,102,204
2020-07-31,806,111,96,207
2020-08-01,762,107,97,204
2020-08-02,889,117,102,219
2020-08-03,881,88,104,192
2020-08-04,875,81,115,196
2020-08-05,815,103,88,191
2020-08-06,781,106,82,188
2020-08-07,706,113,84,197
2020-08-08,701,107,85,192
2020-08-09,690,111,89,200
2020-08-10,698,106,100,206
2020-08-11,687,107,92,199
2020-08-12,685,91,91,182
2020-08-13,661,92,85,177
2020-08-14,659,84,83,167
2020-08-15,658,89,78,167
2020-08-16,624,82,81,163
2020-08-17,601,83,78,161
2020-08-18,598,83,76,159
2020-08-19,587,92,74,166
2020-08-20,562,82,74,156
2020-08-21,565,75,77,152
2020-08-22,526,68,70,138
2020-08-23,500,73,65,138
2020-08-24,537,63,78,141
2020-08-25,542,66,74,140
2020-08-26,528,74,73,147
2020-08-27,535,63,67,130
2020-08-28,553,69,80,149
2020-08-29,542,71,71,142
2020-08-30,528,73,66,139
2020-08-31,553,67,86,153
2020-09-01,533,68,79,147
2020-09-02,534,73,79,152
2020-09-03,551,47,92,139
2020-09-04,481,59,66,125
2020-09-05,529,57,70,127
2020-09-06,519,53,74,127
2020-09-07,530,52,78,130
2020-09-08,473,61,64,125
2020-09-09,518,60,67,127
2020-09-10,520,70,67,137
2020-09-11,476,66,68,134
2020-09-12,475,69,60,129
2020-09-13,489,67,61,128
2020-09-14,499,68,70,138
2020-09-15,438,65,56,121
2020-09-16,487,61,58,119
2020-09-17,477,54,67,121
2020-09-18,478,53,58,111
2020-09-19,461,47,50,97
2020-09-20,469,48,57,105
2020-09-21,451,47,58,105
2020-09-22,419,44,54,98
2020-09-23,416,44,57,101
2020-09-24,417,43,54,97
2020-09-25,360,33,62,95
2020-09-26,352,29,56,85
2020-09-27,374,25,48,73
2020-09-28,367,26,53,79
2020-09-29,381,23,54,77
2020-09-30,363,26,59,85
2020-10-01,345,37,58,95
2020-10-02,317,29,58,87
2020-10-03,343,30,64,94
2020-10-04,369,41,63,104
2020-10-05,342,29,63,92
2020-10-06,333,36,55,91
2020-10-07,305,37,60,97
2020-10-08,308,33,54,87
2020-10-09,287,34,51,85
2020-10-10,294,36,56,92
2020-10-11,288,41,52,93
2020-10-12,304,37,54,91
2020-10-13,312,38,48,86
2020-10-14,314,37,50,87
2020-10-15,289,34,39,73
2020-10-16,312,38,48,86
2020-10-17,288,40,51,91
2020-10-18,284,39,50,89
2020-10-19,249,40,41,81
2020-10-20,277,35,51,86
2020-10-21,277,39,48,87
2020-10-22,279,36,50,86
2020-10-23,287,35,50,85
2020-10-24,276,37,47,84
2020-10-25,272,35,44,79
2020-10-26,258,33,45,78
2020-10-27,233,31,43,74
2020-10-28,244,35,52,87
2020-10-29,260,35,46,81
2020-10-30,244,33,44,77
2020-10-31,233,23,50,73
2020-11-01,236,30,41,71
2020-11-02,235,23,43,66
2020-11-03,238,28,41,69
2020-11-04,242,30,46,76
2020-11-05,214,31,36,67
2020-11-06,231,35,46,81
2020-11-07,223,32,46,78
2020-11-08,216,20,39,59
2020-11-09,225,20,38,58
2020-11-10,261,21,50,71
2020-11-11,237,27,39,66
2020-11-12,255,26,47,73
2020-11-13,254,28,38,66
2020-11-14,245,31,44,75
2020-11-15,259,29,44,73
2020-11-16,266,31,46,77
2020-11-17,259,31,42,73
2020-11-18,269,33,46,79
2020-11-19,242,41,40,81
2020-11-20,260,35,45,80
2020-11-21,243,25,45,70
2020-11-22,283,32,50,82
2020-11-23,255,34,51,85
2020-11-24,260,3,76,79
2020-11-25,223,26,41,67
2020-11-26,211,25,37,62
2020-11-27,228,27,46,73
2020-11-28,218,27,43,70
2020-11-29,215,31,41,72
2020-11-30,170,19,33,52
2020-12-01,213,32,42,74
2020-12-02,206,23,45,68
2020-12-03,219,16,46,62
2020-12-04,196,16,48,64
2020-12-05,189,20,48,68
2020-12-06,194,22,46,68
2020-12-07,206,25,44,69
2020-12-08,200,32,46,78
2020-12-09,204,30,40,70
2020-12-10,199,23,36,59
2020-12-11,221,36,43,79
2020-12-12,253,30,48,78
2020-12-13,216,15,52,67
2020-12-14,244,30,47,77
2020-12-15,248,31,49,80
2020-12-16,253,39,51,90
2020-12-17,233,28,45,73
2020-12-18,227,26,44,70
2020-12-19,242,48,48,96
2020-12-20,258,25,47,72
2020-12-21,271,30,46,76
2020-12-22,256,30,43,73
2020-12-23,291,42,48,90
2020-12-24,261,31,49,80
2020-12-25,283,34,58,92
2020-12-26,278,35,50,85
2020-12-27,293,39,49,88
2020-12-28,261,31,44,75
2020-12-29,321,37,51,88
2020-12-30,320,35,52,87
2020-12-31,336,38,49,87
2021-01-01,333,41,44,85
2021-01-02,332,46,47,93
2021-01-03,349,48,50,98
2021-01-04,360,58,52,110
2021-01-05,362,46,48,94
2021-01-06,430,38,65,103
2021-01-07,418,36,54,90
2021-01-08,448,45,60,105
2021-01-09,480,58,65,123
2021-01-10,465,69,55,124
2021-01-11,503,72,64,136
2021-01-12,518,70,70,140
2021-01-13,528,73,77,150
2021-01-14,483,62,68,130
2021-01-15,604,87,83,170
2021-01-16,599,81,84,165
2021-01-17,612,81,94,175
2021-01-18,630,94,83,177
2021-01-19,626,106,78,184
2021-01-20,683,111,76,187
2021-01-21,725,106,79,185
2021-01-22,702,117,83,200
2021-01-23,706,116,83,199
2021-01-24,732,107,90,197
2021-01-25,752,106,89,195
2021-01-26,654,99,63,162
2021-01-27,730,107,80,187
2021-01-28,702,102,83,185
2021-01-29,673,107,82,189
2021-01-30,690,104,95,199
2021-01-31,670,105,92,197
2021-02-01,678,88,107,195
2021-02-02,678,113,92,205
2021-02-03,678,103,89,192
2021-02-04,639,110,86,196
2021-02-05,614,114,88,202
2021-02-06,559,114,85,199
2021-02-07,561,114,85,199
2021-02-08,545,106,83,189
2021-02-09,516,126,78,204
2021-02-10,485,107,65,172
2021-02-11,480,112,73,185
2021-02-12,473,109,72,181
2021-02-13,464,113,70,183
2021-02-14,446,110,71,181
2021-02-15,350,100,57,157
2021-02-16,363,91,61,152
2021-02-17,382,89,55,144
