fecha,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-07,2,2,0,2
2020-04-08,9,2,2,4
2020-04-09,8,2,2,4
2020-04-10,8,2,2,4
2020-04-11,10,0,2,2
2020-04-12,12,0,2,2
2020-04-13,13,1,2,3
2020-04-14,13,1,4,5
2020-04-15,11,2,4,6
2020-04-16,13,3,4,7
2020-04-17,17,4,7,11
2020-04-18,17,4,3,7
2020-04-19,25,3,3,6
2020-04-20,28,3,7,10
2020-04-21,30,3,8,11
2020-04-22,31,2,8,10
2020-04-23,29,3,9,12
2020-04-24,26,4,7,11
2020-04-25,28,5,9,14
2020-04-26,39,5,8,13
2020-04-27,45,3,9,12
2020-04-28,46,2,9,11
2020-04-29,78,1,10,11
2020-04-30,75,0,10,10
2020-05-01,72,4,8,12
2020-05-02,88,5,17,22
2020-05-03,93,6,16,22
2020-05-04,90,6,16,22
2020-05-05,89,9,12,21
2020-05-06,94,8,15,23
2020-05-07,92,8,19,27
2020-05-08,91,7,17,24
2020-05-09,96,6,21,27
2020-05-10,95,10,19,29
2020-05-11,98,12,18,30
2020-05-12,99,11,20,31
2020-05-13,101,16,22,38
2020-05-14,107,11,20,31
2020-05-15,100,10,16,26
2020-05-16,108,14,19,33
2020-05-17,112,9,20,29
2020-05-18,123,14,21,35
2020-05-19,117,15,20,35
2020-05-20,118,19,22,41
2020-05-21,120,16,20,36
2020-05-22,113,14,27,41
2020-05-23,111,18,25,43
2020-05-24,116,16,24,40
2020-05-25,118,11,30,41
2020-05-26,103,11,18,29
2020-05-27,120,14,28,42
2020-05-28,131,16,23,39
2020-05-29,116,12,30,42
2020-05-30,113,12,19,31
2020-05-31,111,20,27,47
2020-06-01,93,24,25,49
2020-06-02,103,15,27,42
2020-06-03,104,19,22,41
2020-06-04,119,18,24,42
2020-06-05,95,21,23,44
2020-06-06,95,18,27,45
2020-06-07,128,18,24,42
2020-06-08,132,15,31,46
2020-06-09,128,22,26,48
2020-06-10,141,20,32,52
2020-06-11,148,20,34,54
2020-06-12,143,25,25,50
2020-06-13,127,29,25,54
2020-06-14,111,24,18,42
2020-06-15,144,24,23,47
2020-06-16,142,26,24,50
2020-06-17,131,25,26,51
2020-06-18,107,22,18,40
2020-06-19,128,27,31,58
2020-06-20,136,22,29,51
2020-06-21,156,25,28,53
2020-06-22,169,29,29,58
2020-06-23,196,31,31,62
2020-06-24,226,30,29,59
2020-06-25,226,29,29,58
2020-06-26,210,39,27,66
2020-06-27,220,43,28,71
2020-06-28,238,44,28,72
2020-06-29,248,43,33,76
2020-06-30,256,44,30,74
2020-07-01,281,45,30,75
2020-07-02,276,43,32,75
2020-07-03,283,55,24,79
2020-07-04,249,50,15,65
2020-07-05,298,60,28,88
2020-07-06,300,63,25,88
2020-07-07,311,65,27,92
2020-07-08,330,68,27,95
2020-07-09,297,57,18,75
2020-07-10,327,76,29,105
2020-07-11,334,78,29,107
2020-07-12,346,77,31,108
2020-07-13,347,85,30,115
2020-07-14,358,81,30,111
2020-07-15,394,88,29,117
2020-07-16,393,90,26,116
2020-07-17,427,83,27,110
2020-07-18,426,91,26,117
2020-07-19,421,86,30,116
2020-07-20,406,93,31,124
2020-07-21,414,80,31,111
2020-07-22,424,78,39,117
2020-07-23,392,80,46,126
2020-07-24,420,87,42,129
2020-07-25,424,82,43,125
2020-07-26,399,80,36,116
2020-07-27,365,64,34,98
2020-07-28,436,75,53,128
2020-07-29,444,74,38,112
2020-07-30,428,74,45,119
2020-07-31,391,75,46,121
2020-08-01,389,85,39,124
2020-08-02,415,86,39,125
2020-08-03,423,78,44,122
2020-08-04,430,90,44,134
2020-08-05,437,92,42,134
2020-08-06,437,91,41,132
2020-08-07,434,80,44,124
2020-08-08,453,83,41,124
2020-08-09,446,82,41,123
2020-08-10,447,84,43,127
2020-08-11,459,85,43,128
2020-08-12,429,80,41,121
2020-08-13,420,70,41,111
2020-08-14,454,77,42,119
2020-08-15,447,75,42,117
2020-08-16,472,77,43,120
2020-08-17,491,67,44,111
2020-08-18,464,67,42,109
2020-08-19,422,66,38,104
2020-08-20,410,65,35,100
2020-08-21,400,61,27,88
2020-08-22,368,35,25,60
2020-08-23,401,60,30,90
2020-08-24,385,55,30,85
2020-08-25,365,48,28,76
2020-08-26,376,37,26,63
2020-08-27,345,46,27,73
2020-08-28,339,38,25,63
2020-08-29,350,38,28,66
2020-08-30,336,25,53,78
2020-08-31,329,45,28,73
2020-09-01,310,45,28,73
2020-09-02,316,39,33,72
2020-09-03,301,37,35,72
2020-09-04,267,35,30,65
2020-09-05,270,32,30,62
2020-09-06,283,35,27,62
2020-09-07,304,36,31,67
2020-09-08,262,26,27,53
2020-09-09,252,28,34,62
2020-09-10,258,12,31,43
2020-09-11,293,21,34,55
2020-09-12,249,20,30,50
2020-09-13,259,17,33,50
2020-09-14,256,21,32,53
2020-09-15,206,6,27,33
2020-09-16,212,13,21,34
2020-09-17,246,5,25,30
2020-09-18,218,18,24,42
2020-09-19,199,22,16,38
2020-09-20,209,17,25,42
2020-09-21,211,18,24,42
2020-09-22,200,16,26,42
2020-09-23,194,17,22,39
2020-09-24,185,12,22,34
2020-09-25,173,20,21,41
2020-09-26,172,20,21,41
2020-09-27,171,17,23,40
2020-09-28,170,16,25,41
2020-09-29,157,16,24,40
2020-09-30,151,18,21,39
2020-10-01,149,20,18,38
2020-10-02,126,17,18,35
2020-10-03,121,12,18,30
2020-10-04,123,13,24,37
2020-10-05,136,10,24,34
2020-10-06,139,8,24,32
2020-10-07,139,9,26,35
2020-10-08,132,13,24,37
2020-10-09,124,9,24,33
2020-10-10,124,8,25,33
2020-10-11,136,11,24,35
2020-10-12,152,15,18,33
2020-10-13,152,9,17,26
2020-10-14,151,11,15,26
2020-10-15,158,13,16,29
2020-10-16,154,12,15,27
2020-10-17,161,14,14,28
2020-10-18,162,13,15,28
2020-10-19,144,9,14,23
2020-10-20,169,14,13,27
2020-10-21,156,20,12,32
2020-10-22,148,15,14,29
2020-10-23,145,18,13,31
2020-10-24,144,18,11,29
2020-10-25,149,18,11,29
2020-10-26,148,22,10,32
2020-10-27,142,20,10,30
2020-10-28,144,18,10,28
2020-10-29,127,15,12,27
2020-10-30,127,14,13,27
2020-10-31,127,15,12,27
2020-11-01,110,12,12,24
2020-11-02,123,15,11,26
2020-11-03,116,16,12,28
2020-11-04,113,14,8,22
2020-11-05,112,17,7,24
2020-11-06,120,14,8,22
2020-11-07,119,17,11,28
2020-11-08,121,14,13,27
2020-11-09,127,14,11,25
2020-11-10,118,15,11,26
2020-11-11,114,17,13,30
2020-11-12,114,12,13,25
2020-11-13,119,7,15,22
2020-11-14,117,3,15,18
2020-11-15,126,10,13,23
2020-11-16,132,11,14,25
2020-11-17,128,6,21,27
2020-11-18,117,11,13,24
2020-11-19,122,9,13,22
2020-11-20,120,15,12,27
2020-11-21,121,15,11,26
2020-11-22,119,16,11,27
2020-11-23,117,14,11,25
2020-11-24,107,15,9,24
2020-11-25,109,20,11,31
2020-11-26,115,22,10,32
2020-11-27,112,22,10,32
2020-11-28,110,20,10,30
2020-11-29,123,16,15,31
2020-11-30,126,21,14,35
2020-12-01,122,19,13,32
2020-12-02,111,22,11,33
2020-12-03,94,20,11,31
2020-12-04,87,25,13,38
2020-12-05,80,24,12,36
2020-12-06,82,22,14,36
2020-12-07,92,23,15,38
2020-12-08,100,13,18,31
2020-12-09,107,13,21,34
2020-12-10,104,14,20,34
2020-12-11,117,13,20,33
2020-12-12,110,16,20,36
2020-12-13,109,15,17,32
2020-12-14,108,24,15,39
2020-12-15,108,18,17,35
2020-12-16,100,19,14,33
2020-12-17,103,8,13,21
2020-12-18,97,15,14,29
2020-12-19,101,12,17,29
2020-12-20,103,14,18,32
2020-12-21,101,14,19,33
2020-12-22,96,19,21,40
2020-12-23,121,16,24,40
2020-12-24,99,14,22,36
2020-12-25,98,14,19,33
2020-12-26,104,14,16,30
2020-12-27,114,16,17,33
2020-12-28,105,11,21,32
2020-12-29,104,15,20,35
2020-12-30,90,22,22,44
2020-12-31,80,23,22,45
2021-01-01,83,13,22,35
2021-01-02,88,22,18,40
2021-01-03,93,19,18,37
2021-01-04,104,16,18,34
2021-01-05,93,13,17,30
2021-01-06,122,21,17,38
2021-01-07,110,20,17,37
2021-01-08,106,25,21,46
2021-01-09,109,30,22,52
2021-01-10,119,32,22,54
2021-01-11,114,25,23,48
2021-01-12,116,23,23,46
2021-01-13,108,10,26,36
2021-01-14,110,17,26,43
2021-01-15,130,12,24,36
2021-01-16,135,22,27,49
2021-01-17,142,23,27,50
2021-01-18,144,25,28,53
2021-01-19,135,23,28,51
2021-01-20,154,25,30,55
2021-01-21,137,28,27,55
2021-01-22,150,24,26,50
2021-01-23,140,18,25,43
2021-01-24,145,24,25,49
2021-01-25,138,30,25,55
2021-01-26,143,38,24,62
2021-01-27,149,38,24,62
2021-01-28,140,37,24,61
2021-01-29,135,39,23,62
2021-01-30,133,39,22,61
2021-01-31,136,37,23,60
2021-02-01,142,30,23,53
2021-02-02,135,34,23,57
2021-02-03,142,28,23,51
2021-02-04,149,35,23,58
2021-02-05,148,34,22,56
2021-02-06,146,25,20,45
2021-02-07,155,26,22,48
2021-02-08,151,22,26,48
2021-02-09,150,22,27,49
2021-02-10,153,16,29,45
2021-02-11,155,20,29,49
2021-02-12,150,19,28,47
2021-02-13,142,22,28,50
2021-02-14,139,13,27,40
2021-02-15,114,37,27,64
2021-02-16,122,40,26,66
2021-02-17,129,46,23,69
